Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,39.17,40.88,47.07,18.27,34.08,44.66,60.26,45.08,50.06,55.13,68.04
  └─ YOY Sales Growth %,,,,,-12.99%,9.25%,28.02%,146.74%,46.89%,23.44%,12.91%
Expenses,37.25,38.95,44.49,17.97,31.51,40.37,55.75,41.29,46.17,53.22,64.89
  └─ Material Cost %,76%,80%,80%,75%,75%,75%,80%,75%,76%,80%,81%
  └─ Employee Cost %,15%,12%,9%,16%,14%,13%,9%,12%,11%,12%,10%
Operating Profit,1.92,1.93,2.58,0.30,2.57,4.29,4.51,3.79,3.89,1.91,3.15
OPM %,4.90%,4.72%,5.48%,1.64%,7.54%,9.61%,7.48%,8.41%,7.77%,3.46%,4.63%
Other Income,0.05,0.24,0.99,0.11,1.61,-1.81,0.21,0.21,1.96,0.15,0.22
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-1.89,0.05,0.00,0.00,0.00,0.00
  └─ Other income normal,0.05,0.24,0.99,0.11,1.61,0.08,0.16,0.21,1.96,0.15,0.22
Interest,1.18,1.32,1.34,1.25,1.48,1.38,1.69,1.69,1.73,1.81,1.73
Depreciation,0.73,0.76,0.79,0.96,0.96,0.93,1.10,1.37,1.39,1.39,1.43
Profit before tax,0.06,0.09,1.44,-1.80,1.74,0.17,1.93,0.94,2.73,-1.14,0.21
Tax %,33.33%,55.56%,43.75%,0.00%,0.00%,-82.35%,38.34%,25.53%,22.34%,-25.44%,123.81%
Net Profit,0.05,0.04,0.78,-1.86,1.66,0.23,1.09,0.63,1.98,-0.95,-0.25
  └─ Profit from Associates,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,-2,0,0,0,0,0
  └─ Profit excl Excep,0,0,1,-2,2,2,1,1,2,-1,-0
  └─ Profit for PE,0,0,1,-2,2,2,1,1,2,-1,-0
  └─ Profit for EPS,0,0,1,-2,2,0,1,1,2,-1,-0
  └─ YOY Profit Growth %,,,,,3220%,5200%,36%,134%,19%,-145%,-108%
EPS in Rs,0.04,0.03,0.58,-1.38,1.23,0.16,0.78,0.45,1.42,-0.68,-0.06
Raw PDF,,,,,,,,,,,
