Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Jun 2022,Dec 2022,Jun 2023,Dec 2023,Jun 2024
Sales,40,38,52,52,53,47,37,60,,,,,
  └─ YOY Sales Growth %,,,-32.91%,46.29%,,,,,,,25.67%,30.99%,1.12%
Expenses,36,34,47,48,48,35,33,50,,,,,
  └─ Material Cost %,75%,73%,75%,78%,79%,57%,65%,67%,,,,,
  └─ Employee Cost %,5%,6%,4%,4%,3%,3%,6%,3%,,,,,
Operating Profit,3,4,4,4,4,12,4,10,,,,,
OPM %,9%,10%,9%,8%,8%,26%,10%,17%,,,,,
Other Income,1,0,0,0,1,0,4,0,,,,,
  └─ Exceptional items,0.58,0.00,0.00,-0.23,0.00,0.00,0.00,0.00,,,,,
  └─ Other income normal,0.20,0.15,0.06,0.43,0.70,0.45,4.29,0.23,,,,,
Interest,1,1,1,1,1,2,2,2,,,,,
Depreciation,1,1,1,2,1,2,3,3,,,,,
Profit before tax,2,2,2,2,3,9,3,5,,,,,
Tax %,49%,34%,45%,-34%,30%,13%,23%,31%,,,,,
Net Profit,2,1,2,3,2,6,2,3,,,,,
  └─ Profit from Associates,0.54,0.05,0.54,0.16,0.14,-1.39,-0.14,-0.38,,,,,
  └─ Exceptional items AT,0.25,0.00,0.00,-0.09,0.00,0.00,0.00,0.00,,,,,
  └─ Profit excl Excep,1.31,1.32,1.73,2.64,1.91,6.11,2.45,3.32,,,,,
  └─ Profit for PE,1.31,1.32,1.73,2.64,1.91,6.11,2.45,3.32,,,,,
  └─ Profit for EPS,1.56,1.32,1.73,2.55,1.91,6.11,2.45,3.32,,,,,
EPS in Rs,6.78,1.64,1.57,2.31,1.73,5.53,2.22,3.00,,,,,
Raw PDF,,,,,,,,,,,,,
