Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,14.28,0.41,3.12,1.83,3.52,4.06,4.26,4.31,4.82,5.39,6.81,6.08,6.08
Expenses,20.05,2.24,6.97,6.57,4.29,3.84,4.60,4.26,5.03,5.43,6.19,5.60,5.60
  └─ Material Cost %,25%,34%,28%,20%,8%,5%,3%,6%,12%,5%,5%,6%,6%
  └─ Employee Cost %,66%,322%,39%,49%,51%,52%,52%,57%,57%,61%,57%,57%,57%
Operating Profit,-5.77,-1.83,-3.85,-4.74,-0.77,0.22,-0.34,0.05,-0.21,-0.04,0.62,0.48,0.48
OPM %,-40.41%,-446.34%,-123.40%,-259.02%,-21.88%,5.42%,-7.98%,1.16%,-4.36%,-0.74%,9.10%,7.89%,7.89%
Other Income,0.26,0.11,0.11,2.48,0.39,0.18,0.42,0.59,0.26,0.21,0.36,0.11,0.11
  └─ Other income normal,0.26,0.11,0.11,2.48,0.39,0.18,0.42,0.59,0.26,0.21,0.36,0.11,0.11
Interest,0.34,0.04,0.04,0.02,0.04,0.02,0.04,0.02,0.02,0.01,0.01,0.02,0.02
Depreciation,2.54,0.10,0.10,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02
Profit before tax,-8.39,-1.86,-3.88,-2.33,-0.47,0.34,0.00,0.59,0.00,0.13,0.95,0.55,0.55
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,10.17%,,0.00%,7.37%,16.36%,16.36%
Net Profit,-8.39,-1.87,-3.88,-2.34,-0.47,0.33,-0.56,0.54,-0.03,0.13,0.88,0.47,0.47
  └─ Profit excl Excep,-8.39,-1.87,-3.88,-2.34,-0.47,0.33,-0.56,0.54,-0.03,0.13,0.88,0.47,0.47
  └─ Profit for PE,-8.39,-1.87,-3.88,-2.34,-0.47,0.33,-0.56,0.54,-0.03,0.13,0.88,0.47,0.47
  └─ Profit for EPS,-8.39,-1.87,-3.88,-2.34,-0.47,0.33,-0.56,0.54,-0.03,0.13,0.88,0.47,0.47
EPS in Rs,-8.05,-1.80,-3.73,-2.25,-0.45,0.32,-0.54,0.52,-0.03,0.12,0.84,0.45,0.45
Raw PDF,,,,,,,,,,,,,
