Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1682,1571,1574,1655,1480,1423,1497,1502,1545,1387,1585,1660,1691
  └─ YOY Sales Growth %,16.62%,14.56%,0.78%,-0.97%,-11.98%,-9.42%,-4.90%,-9.29%,4.34%,-2.57%,5.83%,10.51%,9.48%
Expenses,1585,1484,1476,1541,1355,1309,1365,1368,1402,1282,1442,1513,1534
  └─ Material Cost %,33.29%,31.16%,29.91%,31.61%,21.30%,24.25%,28.76%,34.30%,35.50%,34.01%,36.26%,35.49%,34.96%
  └─ Employee Cost %,41.24%,38.29%,40.43%,37.93%,42.88%,42.40%,40.28%,36.77%,33.69%,38.40%,34.64%,35.38%,33.85%
Operating Profit,97,87,99,114,125,115,133,134,143,105,143,147,157
OPM %,6%,6%,6%,7%,8%,8%,9%,9%,9%,8%,9%,9%,9%
Other Income,-13,-2,-5,2,-8,-14,-17,-12,-10,1,-13,-21,-5
  └─ Exceptional items,-22.48,-7.06,-14.27,-9.36,-8.97,-15.25,-20.74,-13.40,-16.30,-12.60,-14.14,-21.92,-14.19
  └─ Other income normal,9.84,5.39,9.40,11.19,0.78,1.05,3.26,1.44,6.00,13.15,0.94,1.18,9.04
Interest,34,33,32,36,40,34,32,31,47,34,39,40,45
Depreciation,31,28,29,28,29,26,28,31,28,27,29,30,31
Profit before tax,19,24,33,52,47,40,55,59,58,45,61,57,76
Tax %,-19%,2%,4%,21%,13%,8%,6%,5%,-5%,-5%,9%,12%,15%
Net Profit,23,24,32,41,41,37,51,56,60,47,56,50,65
  └─ Exceptional items AT,-19,-7,-13,-7,-8,-14,-19,-13,-15,-12,-12,-19,-12
  └─ Profit excl Excep,42,31,45,48,48,51,71,69,75,60,68,69,77
  └─ Profit for PE,42,31,45,48,48,51,71,69,75,60,68,69,77
  └─ Profit for EPS,23,24,32,41,41,37,51,56,60,47,56,50,65
  └─ YOY Profit Growth %,108%,61%,560%,272%,15%,68%,57%,43%,55%,17%,-4%,0%,2%
EPS in Rs,1.38,1.43,1.90,2.43,2.43,2.21,3.04,3.31,3.57,2.79,3.27,2.92,3.65
Raw PDF,,,,,,,,,,,,,
