Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,10.76,18.59,15.83,22.14,16.23,19.04,24.14,34.99
  └─ YOY Sales Growth %,,,,,51%,2%,52%,58%
Expenses,9.61,13.81,13.45,18.71,12.86,15.20,16.41,22.13
  └─ Material Cost %,77.97%,66.97%,76.12%,73.31%,65.25%,65.34%,53.98%,48.27%
  └─ Employee Cost %,6.69%,4.09%,6.70%,5.42%,8.63%,8.77%,6.71%,5.57%
Operating Profit,1.15,4.78,2.38,3.43,3.37,3.84,7.73,12.86
OPM %,10.69%,25.71%,15.03%,15.49%,20.76%,20.17%,32.02%,36.75%
Other Income,0.00,0.39,-0.36,0.03,0.01,0.27,0.08,0.62
  └─ Other income normal,0.00,0.39,-0.36,0.03,0.01,0.27,0.08,0.62
Interest,0.02,0.02,0.02,0.04,0.01,0.03,0.02,0.03
Depreciation,0.13,0.15,0.20,0.16,0.17,0.17,0.17,0.14
Profit before tax,1.00,5.00,1.80,3.26,3.20,3.91,7.62,13.31
Tax %,-3.00%,26.40%,40.56%,17.48%,26.25%,23.27%,24.54%,31.78%
Net Profit,1.02,3.68,1.06,2.70,2.35,3.00,5.75,9.08
  └─ Profit excl Excep,1,4,1,3,2,3,6,9
  └─ Profit for PE,1,4,1,3,2,3,6,9
  └─ Profit for EPS,1,4,1,3,2,3,6,9
  └─ YOY Profit Growth %,,,,,130%,-18%,442%,236%
EPS in Rs,,,1.13,2.87,1.84,2.34,4.49,6.34
Raw PDF,,,,,,,,
