Metric,Dec 2014
Sales,2.11
Expenses,0.46
  └─ Employee Cost %,15.64%
Operating Profit,1.65
OPM %,78.20%
Other Income,0.04
  └─ Other income normal,0.04
Interest,0.70
Depreciation,0.34
Profit before tax,0.65
Tax %,24.62%
Net Profit,0.49
  └─ Profit excl Excep,0.49
  └─ Profit for PE,0.49
  └─ Profit for EPS,0.49
EPS in Rs,0.72
Raw PDF,
