Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,89.74,86.63,94.13,88.39,96.74
  └─ YOY Sales Growth %,,,,-1.50%,11.67%
Expenses,87.39,84.53,91.56,86.27,93.05
  └─ Employee Cost %,3.87%,4.09%,4.11%,4.63%,3.90%
Operating Profit,2.35,2.10,2.57,2.12,3.69
OPM %,2.62%,2.42%,2.73%,2.40%,3.81%
Other Income,0.69,0.46,0.46,1.31,0.68
  └─ Other income normal,0.69,0.46,0.46,1.31,0.68
Interest,0.20,0.09,0.11,0.09,0.06
Depreciation,0.64,0.61,0.64,0.65,0.61
Profit before tax,2.20,1.86,2.28,2.69,3.70
Tax %,0.91%,0.00%,0.00%,0.00%,19.46%
Net Profit,2.18,1.86,2.28,2.69,2.98
  └─ Profit excl Excep,2,2,2,3,3
  └─ Profit for PE,2,2,2,3,3
  └─ Profit for EPS,2,2,2,3,3
  └─ YOY Profit Growth %,,,,23%,60%
EPS in Rs,0.31,0.27,0.33,0.39,0.43
Raw PDF,,,,,
