Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,7,17,24,45,53,115,114,217
Expenses,5,9,18,28,33,78,76,155
  └─ Material Cost %,63.42%,53.63%,64.53%,0.42%,0.00%,0.00%,3.80%,-2.92%
  └─ Employee Cost %,3.34%,1.71%,5.42%,12.75%,11.63%,8.02%,7.97%,5.16%
Operating Profit,2,8,6,17,20,36,38,62
OPM %,30%,44%,26%,38%,38%,32%,33%,29%
Other Income,-0,-0,0,0,0,2,3,3
  └─ Other income normal,0.00,0.00,0.01,0.23,0.01,2.44,3.41,3.32
Interest,0,0,0,0,0,1,1,1
Depreciation,-0,0,0,0,0,1,3,4
Profit before tax,2,7,6,17,19,37,38,61
Tax %,-0%,38%,25%,20%,27%,31%,26%,22%
Net Profit,2,4,5,14,14,25,28,47
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,10.42,0.00,-3.97
  └─ Profit excl Excep,1.86,4.35,4.52,13.69,14.15,25.05,27.67,47.10
  └─ Profit for PE,1.86,4.35,4.52,13.69,14.15,35.47,27.67,43.13
  └─ Profit for EPS,1.86,4.35,4.52,13.69,14.15,35.47,27.67,43.13
EPS in Rs,3.15,7.37,5.32,16.11,16.11,40.14,31.31,48.81
Raw PDF,,,,,,,,
