Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,630,382,352,306,342,591,428,686,594,366,415,576,934
  └─ YOY Sales Growth %,,,,,-46%,55%,22%,124%,74%,-38%,-3%,-16%,57%
Expenses,557,346,318,272,301,543,385,633,534,329,344,486,775
  └─ Material Cost %,87%,88%,88%,85%,83%,89%,88%,90%,86%,85%,79%,81%,81%
  └─ Employee Cost %,0%,1%,1%,2%,2%,1%,1%,1%,2%,3%,2%,2%,1%
Operating Profit,74,36,34,34,41,48,43,53,60,37,71,90,160
OPM %,12%,10%,10%,11%,12%,8%,10%,8%,10%,10%,17%,16%,17%
Other Income,2,2,5,3,8,2,5,16,3,1,-4,-3,-8
  └─ Exceptional items,0.27,-0.17,0.04,0.00,0.02,0.01,-1.93,-8.35,-12.78,-8.95,-9.65,-8.62,-11.53
  └─ Other income normal,1.84,1.87,5.22,3.19,7.96,2.09,7.39,24.55,16.00,10.39,5.20,5.80,3.94
Interest,6,6,6,8,8,6,4,5,5,6,7,9,10
Depreciation,2,3,3,4,4,6,2,3,3,5,5,5,5
Profit before tax,68,29,30,25,37,39,42,62,55,28,55,73,136
Tax %,25%,27%,29%,33%,9%,25%,27%,19%,13%,26%,34%,28%,31%
Net Profit,51,21,21,17,33,29,31,50,48,20,36,53,94
  └─ Minority share,0,0,0,0,1,1,0,0,0,1,1,1,-4
  └─ Exceptional items AT,0,-0,0,0,0,0,-2,-8,-13,-9,-10,-9,-12
  └─ Profit excl Excep,50,21,21,17,33,29,33,58,61,29,46,61,106
  └─ Profit for PE,50,21,21,17,34,30,33,58,61,30,47,63,102
  └─ Profit for EPS,51,21,21,17,34,30,31,50,48,21,37,54,91
  └─ YOY Profit Growth %,,,,,-32%,40%,54%,246%,78%,0%,43%,7%,67%
EPS in Rs,4.59,1.92,1.94,1.53,2.96,2.60,2.57,3.88,3.74,1.64,2.90,3.93,6.62
Raw PDF,,,,,,,,,,,,,
