Metric,Mar 2023,Sep 2023,Mar 2024
  └─ Material Cost %,2%,7%,15%
  └─ Employee Cost %,71%,34%,65%
  └─ Other income normal,0.12,0.12,0.09
  └─ Profit excl Excep,0.01,0.23,-0.23
  └─ Profit for PE,0.01,0.23,-0.23
  └─ Profit for EPS,0.01,0.23,-0.23
