Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.59,0.48,1.34,0.56,1.41
  └─ YOY Sales Growth %,,,,-5%,194%
Expenses,0.23,0.23,1.01,0.49,1.26
  └─ Material Cost %,8%,38%,54%,9%,58%
  └─ Employee Cost %,5%,0%,1%,23%,12%
Operating Profit,0.36,0.25,0.33,0.07,0.15
OPM %,61.02%,52.08%,24.63%,12.50%,10.64%
Other Income,0.16,0.22,0.82,0.56,0.61
  └─ Other income normal,0.16,0.22,0.82,0.56,0.61
Interest,0.00,0.00,0.00,0.00,0.00
Depreciation,0.09,0.10,0.09,0.10,0.10
Profit before tax,0.43,0.37,1.06,0.53,0.66
Tax %,25.58%,24.32%,24.53%,26.42%,25.76%
Net Profit,0.32,0.27,0.79,0.39,0.49
  └─ Profit excl Excep,0,0,1,0,0
  └─ Profit for PE,0,0,1,0,0
  └─ Profit for EPS,0,0,1,0,0
  └─ YOY Profit Growth %,,,,22%,81%
EPS in Rs,0.99,0.83,2.44,1.20,1.41
Raw PDF,,,,,
