Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,111,160,145,146,165,177,163,160,180,211,179,179,197
  └─ YOY Sales Growth %,-6.78%,2.68%,-8.14%,25.92%,48.09%,10.36%,11.99%,9.68%,8.99%,19.02%,9.95%,11.99%,9.26%
Expenses,108,140,132,134,140,155,143,140,150,170,157,155,168
  └─ Material Cost %,54.83%,50.67%,51.97%,51.96%,49.03%,50.64%,47.91%,47.21%,46.91%,47.58%,45.99%,48.37%,48.70%
  └─ Employee Cost %,18.82%,14.34%,15.84%,16.78%,14.90%,14.37%,17.83%,16.20%,14.17%,12.54%,15.86%,15.26%,14.08%
Operating Profit,3,21,14,12,25,22,19,20,29,41,22,24,29
OPM %,3%,13%,9%,8%,15%,12%,12%,12%,16%,19%,12%,14%,15%
Other Income,-3,-9,1,1,1,-2,1,6,2,3,0,2,1
  └─ Exceptional items,-1.70,-11.03,0.00,0.00,0.00,-2.20,-0.29,-0.27,0.00,0.00,-1.12,1.12,0.00
  └─ Other income normal,-1.09,1.66,0.57,0.70,1.17,0.27,1.04,6.08,1.66,2.93,1.36,1.12,0.69
Interest,40,40,42,45,47,46,49,52,57,58,58,61,62
Depreciation,9,11,9,9,9,9,8,8,8,8,8,7,6
Profit before tax,-48,-41,-37,-41,-29,-34,-37,-35,-34,-22,-44,-41,-39
Tax %,0%,77%,-0%,0%,0%,-18%,-6%,0%,0%,-3%,-4%,-0%,47%
Net Profit,-48,-72,-37,-41,-29,-28,-35,-35,-34,-22,-42,-41,-57
  └─ Minority share,15,14,6,7,5,5,6,6,6,4,7,15,6
  └─ Exceptional items AT,-2,-3,0,0,0,-2,-0,-0,0,0,-1,1,0
  └─ Profit excl Excep,-47,-69,-37,-41,-29,-26,-35,-35,-34,-22,-41,-42,-57
  └─ Profit for PE,-32,-56,-31,-34,-24,-22,-29,-29,-29,-18,-34,-27,-51
  └─ Profit for EPS,-34,-58,-31,-34,-24,-24,-29,-29,-29,-18,-35,-27,-51
  └─ YOY Profit Growth %,8%,7%,-10%,8%,25%,61%,7%,16%,-19%,16%,-17%,4%,-77%
EPS in Rs,-2.51,-4.31,-2.32,-2.54,-1.81,-1.76,-2.19,-2.16,-2.15,-1.37,-2.61,-1.99,-3.79
Raw PDF,,,,,,,,,,,,,
