Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,8702,8905,9017,8893,9143,9433,9661,9772,9841,10394,10781,11292,11608
└─ YOY Sales Growth %,13.84%,8.24%,4.60%,2.32%,5.06%,5.92%,7.15%,9.88%,7.63%,10.19%,11.59%,15.56%,17.96%
Expenses,7067,7274,7432,7357,7536,7734,8068,8176,8191,8464,8778,9319,9547
└─ Employee Cost %,64%,64%,62%,65%,64%,64%,65%,66%,65%,62%,61%,61%,60%
Operating Profit,1636,1631,1585,1536,1606,1699,1593,1596,1649,1930,2003,1973,2061
OPM %,19%,18%,18%,17%,18%,18%,16%,16%,17%,19%,19%,17%,18%
Other Income,132,143,220,208,227,299,212,251,392,300,-363,237,255
└─ Exceptional items,0,0,0,0,0,0,0,0,0,0,-590,62,0
└─ Other income normal,132,143,220,208,227,299,212,251,392,300,227,175,255
Interest,46,47,61,68,72,70,69,67,72,69,69,65,76
Depreciation,185,208,199,227,235,241,264,251,243,282,266,264,261
Profit before tax,1536,1519,1545,1448,1526,1687,1472,1529,1726,1879,1305,1881,1978
Tax %,25%,24%,24%,24%,26%,26%,26%,26%,27%,26%,26%,26%,26%
Net Profit,1152,1162,1169,1101,1135,1252,1087,1129,1255,1381,960,1387,1469
└─ Minority share,-1,-0,-0,-1,-1,-1,-1,-0,-0,20,11,5,-2
└─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-425,45,0
└─ Profit excl Excep,1152,1162,1169,1101,1135,1252,1087,1129,1255,1381,1384,1342,1469
└─ Profit for PE,1152,1162,1169,1100,1134,1251,1085,1128,1254,1401,1395,1347,1466
└─ Profit for EPS,1152,1162,1169,1100,1134,1251,1085,1128,1254,1401,971,1392,1466
└─ YOY Profit Growth %,4%,-2%,17%,-1%,-2%,8%,-7%,3%,11%,12%,29%,19%,17%
EPS in Rs,38.92,39.26,39.49,37.14,38.28,42.24,36.63,38.09,42.32,47.27,32.74,46.96,49.43
Raw PDF,,,,,,,,,,,,,
