Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,243,249,241,245,248,262,271,279,286,295,300,308,314
  └─ YOY Sales Growth %,15.38%,14.99%,5.89%,6.31%,2.11%,5.18%,12.52%,13.62%,15.53%,12.80%,10.71%,10.41%,9.63%
Expenses,226,222,214,227,216,230,238,245,257,260,263,269,289
  └─ Material Cost %,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,2.59%,0.00%,0.00%,0.64%
  └─ Employee Cost %,54.76%,49.28%,42.89%,44.65%,61.04%,47.32%,47.84%,47.84%,45.30%,43.93%,46.09%,45.72%,47.54%
Operating Profit,17,27,26,18,32,32,32,34,29,35,37,39,25
OPM %,7%,11%,11%,8%,13%,12%,12%,12%,10%,12%,12%,13%,8%
Other Income,-183,0,0,0,1,0,0,0,1,1,1,1,6
  └─ Exceptional items,-184.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
  └─ Other income normal,0.72,0.49,0.44,0.34,0.58,0.46,0.21,0.43,0.96,0.64,1.22,0.87,5.68
Interest,3,4,4,5,5,5,5,5,6,5,5,6,6
Depreciation,5,4,4,4,4,4,4,4,4,4,4,4,4
Profit before tax,-174,20,19,10,24,23,24,25,21,27,29,30,21
Tax %,1%,21%,12%,15%,1%,15%,16%,17%,7%,16%,17%,16%,7%
Net Profit,-176,15,17,8,24,20,20,21,19,23,24,25,20
  └─ Exceptional items AT,-181.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
  └─ Profit excl Excep,5.23,15.42,16.53,8.13,23.93,19.94,19.66,20.92,19.20,22.65,24.05,25.41,19.52
  └─ Profit for PE,5.23,15.42,16.53,8.13,23.93,19.94,19.66,20.92,19.20,22.65,24.05,25.41,19.52
  └─ Profit for EPS,-176.47,15.42,16.53,8.13,23.93,19.94,19.66,20.92,19.20,22.65,24.08,25.41,19.52
  └─ YOY Profit Growth %,-72.21%,-5.17%,-1.67%,-50.82%,357.55%,29.31%,18.94%,157.32%,-19.77%,13.59%,22.33%,21.46%,1.67%
EPS in Rs,-3.66,0.32,0.34,0.17,0.49,0.41,0.40,0.43,0.39,0.46,0.46,0.48,0.37
Raw PDF,,,,,,,,,,,,,
