Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,59,63,81,93,92,99,114,122,144,151,172,185
  └─ YOY Sales Growth %,,,,,55%,56%,41%,31%,56%,53%,51%,52%
Expenses,90,100,91,180,84,84,84,82,103,115,127,140
  └─ Employee Cost %,88.95%,92.88%,57.52%,138.01%,42.51%,40.06%,31.01%,27.06%,25.83%,27.58%,23.61%,22.02%
Operating Profit,-31,-37,-11,-87,8,15,30,40,40,37,45,45
OPM %,-52%,-59%,-13%,-93%,9%,15%,26%,33%,28%,24%,26%,24%
Other Income,2,-4,-2,3,28,-276,-69,9,16,16,13,14
  └─ Exceptional items,-2.62,-7.97,-13.11,-3.26,21.92,-281.82,-77.89,-6.37,0.00,0.00,-3.83,0.00
  └─ Other income normal,4.89,4.32,10.91,6.29,6.16,5.49,9.20,14.95,15.91,16.06,16.49,14.14
Interest,1,1,1,1,1,1,2,1,1,1,1,1
Depreciation,7,6,6,6,7,7,8,12,9,12,14,17
Profit before tax,-36,-48,-19,-91,29,-269,-48,35,46,39,42,40
Tax %,0%,0%,1%,-0%,0%,0%,0%,-696%,26%,25%,25%,-63%
Net Profit,-36,-48,-20,-91,29,-269,-48,280,34,29,32,66
  └─ Exceptional items AT,-3,-8,-13,-3,22,-282,-78,-6,0,0,-3,0
  └─ Profit excl Excep,-33,-40,-6,-87,7,12,30,286,34,29,35,66
  └─ Profit for PE,-33,-40,-6,-87,7,12,30,286,34,29,35,66
  └─ Profit for EPS,-36,-48,-20,-91,29,-269,-48,280,34,29,32,66
  └─ YOY Profit Growth %,,,,,120%,131%,559%,427%,396%,139%,16%,-77%
EPS in Rs,-3558.42,-4719.80,-1939.60,-8985.15,2838.61,-26680.20,-2.72,15.79,1.88,1.62,1.75,3.62
Raw PDF,,,,,,,,,,,,
