Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13874,11656,12533,14747,13793,13415,13024,12227,12316,11880,11009,11164,9442
  └─ YOY Sales Growth %,24.31%,-18.28%,-21.60%,-6.52%,-0.58%,15.09%,3.92%,-17.09%,-10.71%,-11.44%,-15.47%,-8.69%,-23.33%
Expenses,12931,10475,11318,13042,12690,11853,11822,10980,10803,10721,9892,9966,7581
  └─ Material Cost %,91%,88%,89%,86%,90%,85%,88%,86%,88%,87%,86%,85%,82%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,1%,1%,1%
Operating Profit,943,1182,1215,1705,1104,1562,1202,1247,1512,1159,1117,1198,1861
OPM %,7%,10%,10%,12%,8%,12%,9%,10%,12%,10%,10%,11%,20%
Other Income,159,145,194,157,154,178,202,196,197,217,234,214,200
  └─ Other income normal,159,145,194,157,154,178,202,196,197,217,234,214,200
Interest,90,75,75,70,71,67,65,65,61,59,61,56,62
Depreciation,189,192,195,195,194,195,196,210,206,207,211,215,205
Profit before tax,823,1060,1140,1597,992,1479,1142,1169,1443,1110,1079,1141,1794
Tax %,25%,26%,25%,25%,26%,26%,26%,26%,26%,26%,26%,26%,25%
Net Profit,619,819,856,1213,764,1105,871,902,1095,842,830,870,1371
  └─ Profit from Associates,0,32,0,23,30,5,22,35,27,17,28,24,33
  └─ Profit excl Excep,619,819,856,1213,764,1105,871,902,1095,842,830,870,1371
  └─ Profit for PE,619,819,856,1213,764,1105,871,902,1095,842,830,870,1371
  └─ Profit for EPS,619,819,856,1213,764,1105,871,902,1095,842,830,870,1371
  └─ YOY Profit Growth %,-22%,13%,9%,1%,24%,35%,2%,-26%,43%,-24%,-5%,-4%,25%
EPS in Rs,4.13,5.46,5.70,8.09,5.10,7.37,5.80,6.01,7.30,5.61,5.54,5.80,9.14
Raw PDF,,,,,,,,,,,,,
