Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,62.60,79.90,96.84,60.75,64.67,89.85,100.34,96.44,93.91,115.20,149.73,142.54,117.24
  └─ YOY Sales Growth %,,-7.48%,-1.45%,-28.80%,3.31%,12.45%,3.61%,58.75%,45.21%,28.21%,49.22%,47.80%,24.84%
Expenses,58.94,74.12,89.64,56.05,61.14,82.47,91.13,88.64,89.74,103.96,137.79,133.03,113.91
  └─ Material Cost %,73%,77%,76%,73%,77%,74%,73%,73%,81%,74%,78%,77%,84%
  └─ Employee Cost %,3%,2%,2%,3%,3%,2%,2%,2%,2%,2%,1%,2%,2%
Operating Profit,3.66,5.78,7.20,4.70,3.53,7.38,9.21,7.80,4.17,11.24,11.94,9.51,3.33
OPM %,5.85%,7.23%,7.43%,7.74%,5.46%,8.21%,9.18%,8.09%,4.44%,9.76%,7.97%,6.67%,2.84%
Other Income,0.36,0.17,0.42,0.09,-0.14,0.30,0.22,0.20,1.04,0.20,0.30,1.67,0.85
  └─ Other income normal,0.36,0.17,0.42,0.09,-0.14,0.30,0.22,0.20,1.04,0.20,0.30,1.67,0.85
Interest,2.47,2.31,2.52,2.40,2.16,2.24,2.84,3.15,3.24,2.81,2.81,3.25,2.86
Depreciation,1.13,1.15,1.18,1.17,1.20,1.21,1.17,1.21,1.24,1.19,1.20,1.25,1.17
Profit before tax,0.42,2.49,3.92,1.22,0.03,4.23,5.42,3.64,0.73,7.44,8.23,6.68,0.15
Tax %,35.71%,27.71%,28.32%,25.41%,-1100.00%,27.90%,31.37%,27.47%,26.03%,27.82%,30.26%,29.19%,73.33%
Net Profit,0.28,1.80,2.81,0.91,0.36,3.06,3.73,2.64,0.53,5.37,5.74,4.74,0.05
  └─ Profit excl Excep,0,2,3,1,0,3,4,3,1,5,6,5,0
  └─ Profit for PE,0,2,3,1,0,3,4,3,1,5,6,5,0
  └─ Profit for EPS,0,2,3,1,0,3,4,3,1,5,6,5,0
  └─ YOY Profit Growth %,,-33%,64%,-50%,29%,70%,33%,190%,47%,75%,54%,80%,-91%
EPS in Rs,0.07,0.46,0.71,0.23,0.09,0.77,0.94,0.67,0.14,1.38,1.46,1.21,0.01
Raw PDF,,,,,,,,,,,,,
