Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,277,288,298,367,380,383,426
  └─ YOY Sales Growth %,,,,,37.08%,32.91%,42.59%
Expenses,294,290,317,381,459,425,545
  └─ Material Cost %,18.68%,18.94%,21.68%,21.14%,21.33%,18.69%,20.87%
  └─ Employee Cost %,32.45%,29.08%,30.92%,27.02%,29.93%,29.84%,30.39%
Operating Profit,-16,-2,-19,-13,-79,-42,-120
OPM %,-6%,-1%,-6%,-4%,-21%,-11%,-28%
Other Income,27,30,32,31,33,36,37
  └─ Other income normal,26.81,30.36,31.96,31.22,32.63,36.10,36.74
Interest,3,3,3,3,3,3,3
Depreciation,10,9,9,10,10,12,14
Profit before tax,-2,16,1,6,-59,-21,-100
Tax %,0%,-1315%,301%,-23%,0%,1%,61%
Net Profit,-2,232,-3,7,-59,-21,-161
  └─ Profit excl Excep,-2,232,-3,7,-59,-21,-161
  └─ Profit for PE,-2,232,-3,7,-59,-21,-161
  └─ Profit for EPS,-2,232,-3,7,-59,-21,-161
  └─ YOY Profit Growth %,,,,,-3160%,-109%,-5575%
EPS in Rs,-93.43,11870.97,-0.06,0.14,-0.41,-0.15,-1.05
Raw PDF,,,,,,,
