Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,7.96,15.55,7.62,7.92,5.04,7.93,6.27,6.58,13.59,7.76,4.85,5.18,11.57
  └─ YOY Sales Growth %,,,-28.58%,175.96%,-36.68%,-49.00%,-17.72%,-16.92%,169.64%,-2.14%,-22.65%,-21.28%,-14.86%
Expenses,7.24,12.15,6.42,6.16,4.47,7.23,6.49,7.59,13.54,7.95,5.47,6.26,8.78
  └─ Material Cost %,62.94%,58.52%,-17.72%,54.92%,41.67%,57.12%,29.35%,68.24%,72.85%,57.35%,53.20%,67.37%,47.10%
  └─ Employee Cost %,12.69%,11.00%,9.71%,14.65%,23.61%,16.52%,18.82%,19.00%,9.27%,15.59%,25.36%,20.08%,10.11%
Operating Profit,0.72,3.40,1.20,1.76,0.57,0.70,-0.22,-1.01,0.05,-0.19,-0.62,-1.08,2.79
OPM %,9.05%,21.86%,15.75%,22.22%,11.31%,8.83%,-3.51%,-15.35%,0.37%,-2.45%,-12.78%,-20.85%,24.11%
Other Income,0.02,0.08,0.06,0.01,0.05,0.28,0.84,0.04,0.08,0.18,0.00,0.28,0.06
  └─ Other income normal,0.02,0.08,0.06,0.01,0.05,0.28,0.84,0.04,0.08,0.18,-0.00,0.28,0.06
Interest,0.16,0.21,0.48,0.21,0.21,0.31,0.39,0.29,0.36,0.47,0.49,0.33,0.34
Depreciation,0.24,0.37,0.34,0.29,0.30,0.34,0.55,0.30,0.59,0.47,0.73,0.52,0.53
Profit before tax,0.34,2.90,0.44,1.27,0.11,0.33,-0.32,-1.56,-0.82,-0.95,-1.84,-1.65,1.98
Tax %,41.18%,21.38%,43.18%,9.45%,-81.82%,42.42%,103.12%,-12.18%,25.61%,0.00%,-3.26%,-3.03%,7.07%
Net Profit,0.19,2.29,0.26,1.15,0.21,0.18,-0.64,-1.37,-1.02,-0.95,-1.78,-1.59,1.84
  └─ Profit excl Excep,0,2,0,1,0,0,-1,-1,-1,-1,-2,-2,2
  └─ Profit for PE,0,2,0,1,0,0,-1,-1,-1,-1,-2,-2,2
  └─ Profit for EPS,0,2,0,1,0,0,-1,-1,-1,-1,-2,-2,2
  └─ YOY Profit Growth %,,,-73%,785%,11%,-92%,-346%,-219%,-586%,-628%,-178%,-16%,280%
EPS in Rs,0.19,2.25,0.25,1.13,0.21,0.18,-0.63,-1.34,-1.00,-0.93,-1.75,-1.56,1.80
Raw PDF,,,,,,,,,,,,,
