Metric,Mar 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1.28,0.61,4.08,0.24,1.16,2.98,74.40,22.13,17.35,21.46,27.54
  └─ YOY Sales Growth %,,,219%,,,389%,1724%,9121%,1396%,620%,-63%
Expenses,1.36,0.97,2.91,0.65,1.10,2.53,57.96,15.43,13.76,18.49,22.42
  └─ Material Cost %,88%,84%,-74%,-67%,-5%,-23%,59%,54%,55%,63%,57%
  └─ Employee Cost %,3%,23%,17%,133%,23%,11%,9%,9%,13%,8%,8%
Operating Profit,-0.08,-0.36,1.17,-0.41,0.06,0.45,16.44,6.70,3.59,2.97,5.12
OPM %,-6.25%,-59.02%,28.68%,-170.83%,5.17%,15.10%,22.10%,30.28%,20.69%,13.84%,18.59%
Other Income,0.14,0.00,0.55,0.01,0.01,0.01,0.28,0.02,0.14,0.05,0.15
  └─ Other income normal,0.14,0.00,0.55,0.01,0.01,0.01,0.28,0.02,0.14,0.05,0.15
Interest,0.00,0.00,0.00,0.00,0.01,-0.01,0.45,0.37,0.09,0.05,0.02
Depreciation,0.00,0.00,0.05,0.01,0.01,0.02,0.15,0.04,0.05,0.05,0.05
Profit before tax,0.06,-0.36,1.67,-0.41,0.05,0.45,16.12,6.31,3.59,2.92,5.20
Tax %,0.00%,0.00%,0.00%,0.00%,20.00%,-4.44%,0.74%,0.95%,0.00%,0.00%,2.12%
Net Profit,0.06,-0.37,1.66,-0.41,0.04,0.47,16.00,6.24,3.58,2.93,5.10
  └─ Minority share,0,0,0,0,0,0,-17,-4,-2,-2,-3
  └─ Profit excl Excep,0,-0,2,-0,0,0,16,6,4,3,5
  └─ Profit for PE,0,-0,2,-0,0,0,-1,2,1,1,2
  └─ Profit for EPS,0,-0,2,-0,0,0,-1,2,1,1,2
  └─ YOY Profit Growth %,,,2667%,,,227%,-142%,551%,2600%,72%,383%
EPS in Rs,0.28,-0.88,3.75,-0.91,0.09,0.93,-1.25,3.34,1.95,1.36,3.25
Raw PDF,,,,,,,,,,,
