Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales,216.64,177.67,176.70,180.54,167.74,168.07,110.94,117.93
  └─ YOY Sales Growth %,,,,,-22.57%,-5.40%,-37.22%,-34.68%
Expenses,197.60,158.66,155.66,157.43,171.28,161.90,97.08,100.34
  └─ Material Cost %,61%,54%,60%,55%,68%,65%,57%,52%
  └─ Employee Cost %,7%,8%,7%,8%,8%,8%,7%,7%
Operating Profit,19.04,19.01,21.04,23.11,-3.54,6.17,13.86,17.59
OPM %,8.79%,10.70%,11.91%,12.80%,-2.11%,3.67%,12.49%,14.92%
Other Income,1.19,0.93,0.25,0.43,0.38,0.40,0.62,0.33
  └─ Other income normal,1.19,0.93,0.25,0.43,0.38,0.40,0.62,0.33
Interest,11.38,11.33,12.48,14.10,12.45,13.20,12.89,14.44
Depreciation,7.96,8.29,8.35,9.38,9.56,9.58,9.59,9.62
Profit before tax,0.89,0.32,0.46,0.06,-25.17,-16.21,-8.00,-6.14
Tax %,35.96%,162.50%,30.43%,-550.00%,-0.83%,2.65%,2.38%,-228.34%
Net Profit,0.57,-0.20,0.32,0.40,-24.97,-16.64,-8.19,7.88
  └─ Profit excl Excep,1,-0,0,0,-25,-17,-8,8
  └─ Profit for PE,1,-0,0,0,-25,-17,-8,8
  └─ Profit for EPS,1,-0,0,0,-25,-17,-8,8
  └─ YOY Profit Growth %,,,,,-4481%,-8220%,-2659%,1870%
EPS in Rs,0.12,-0.04,0.07,0.09,-5.32,-3.55,-1.75,1.68
Raw PDF,,,,,,,,
