Metric,Sep 2025,Dec 2025,Mar 2026
Sales,58.69,65.50,98.90
Expenses,52.83,58.97,87.42
  └─ Material Cost %,65%,67%,70%
  └─ Employee Cost %,8%,8%,6%
Operating Profit,5.86,6.53,11.48
OPM %,9.98%,9.97%,11.61%
Other Income,0.26,0.25,0.49
  └─ Other income normal,0.26,0.25,0.49
Interest,0.28,0.18,0.15
Depreciation,1.76,1.76,1.85
Profit before tax,4.08,4.84,9.97
Tax %,21.57%,16.53%,30.79%
Net Profit,3.20,4.04,6.89
  └─ Profit excl Excep,3.20,4.04,6.89
  └─ Profit for PE,3.20,4.04,6.89
  └─ Profit for EPS,3.20,4.04,6.89
EPS in Rs,2.81,3.54,6.04
Raw PDF,,,
