Metric,Sep 2008,Jun 2009,Sep 2009,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,533,250,283,2047,2375,2072,2010,2243,2590,2428,2364
  └─ YOY Sales Growth %,,,-46.95%,,,,,9.57%,9.06%,17.16%,17.61%
Expenses,500,234,267,1817,2045,1831,1796,2018,2229,2103,2108
  └─ Material Cost %,76%,76%,76%,69%,68%,70%,70%,70%,68%,69%,71%
  └─ Employee Cost %,3%,4%,3%,3%,2%,3%,3%,3%,3%,3%,3%
Operating Profit,33,17,16,230,330,241,214,224,361,325,256
OPM %,6%,7%,6%,11%,14%,12%,11%,10%,14%,13%,11%
Other Income,2,1,1,2,2,7,2,9,4,4,3
  └─ Other income normal,1.59,0.84,0.75,2.16,2.17,6.62,2.25,8.52,3.92,4.26,2.96
Interest,11,5,6,50,46,45,43,48,43,38,33
Depreciation,11,5,6,111,111,116,117,127,137,144,146
Profit before tax,12,7,5,71,176,88,56,59,184,148,79
Tax %,20%,37%,-4%,26%,26%,26%,26%,27%,27%,26%,23%
Net Profit,10,5,5,52,131,64,41,43,135,110,61
  └─ Profit excl Excep,10,5,5,52,131,64,41,43,135,110,61
  └─ Profit for PE,10,5,5,52,131,64,41,43,135,110,61
  └─ Profit for EPS,10,5,5,52,131,64,41,43,135,110,61
  └─ YOY Profit Growth %,,,-47%,,,,,-18%,4%,70%,48%
EPS in Rs,,,,2.34,5.86,2.89,1.84,1.93,6.07,4.92,2.72
Raw PDF,,,,,,,,,,,
