Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23.07,24.90,32.07,21.03,15.64,29.14,16.70,16.68,17.67,14.30,10.46,15.33,14.37
  └─ YOY Sales Growth %,31.01%,10.72%,84.52%,-6.28%,-32.21%,17.03%,-47.93%,-20.68%,12.98%,-50.93%,-37.37%,-8.09%,-18.68%
Expenses,22.49,26.03,32.10,23.13,16.87,26.23,17.29,18.74,20.07,14.46,10.92,18.69,12.87
  └─ Material Cost %,96%,103%,100%,109%,106%,89%,102%,111%,112%,98%,102%,120%,85%
  └─ Employee Cost %,0%,1%,0%,1%,2%,0%,1%,1%,1%,1%,1%,1%,2%
Operating Profit,0.58,-1.13,-0.03,-2.10,-1.23,2.91,-0.59,-2.06,-2.40,-0.16,-0.46,-3.36,1.50
OPM %,2.51%,-4.54%,-0.09%,-9.99%,-7.86%,9.99%,-3.53%,-12.35%,-13.58%,-1.12%,-4.40%,-21.92%,10.44%
Other Income,0.61,0.13,0.14,0.13,0.09,0.11,0.11,0.11,0.18,0.12,0.12,0.11,0.13
  └─ Other income normal,0.61,0.13,0.14,0.13,0.09,0.11,0.11,0.11,0.18,0.12,0.12,0.11,0.13
Interest,0.00,0.08,0.06,0.17,0.24,0.06,0.02,0.10,0.03,0.04,0.06,0.08,0.10
Depreciation,0.00,0.02,0.02,0.02,-0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,-0.01
Profit before tax,1.19,-1.10,0.03,-2.16,-1.37,2.95,-0.51,-2.06,-2.25,-0.09,-0.41,-3.34,1.54
Tax %,-187.39%,0.00%,0.00%,0.00%,-84.67%,0.00%,0.00%,0.00%,-22.22%,0.00%,0.00%,0.00%,-10.39%
Net Profit,3.42,-1.09,0.03,-2.15,-0.21,2.95,-0.51,-2.06,-1.75,-0.09,-0.41,-3.34,1.69
  └─ Profit excl Excep,3,-1,0,-2,-0,3,-1,-2,-2,-0,-0,-3,2
  └─ Profit for PE,3,-1,0,-2,-0,3,-1,-2,-2,-0,-0,-3,2
  └─ Profit for EPS,3,-1,0,-2,-0,3,-1,-2,-2,-0,-0,-3,2
  └─ YOY Profit Growth %,1000%,3%,100%,14%,-106%,371%,-1800%,4%,-733%,-103%,20%,-62%,197%
EPS in Rs,3.64,-1.16,0.03,-2.29,-0.22,3.14,-0.54,-2.19,-1.86,-0.10,-0.44,-3.55,1.80
Raw PDF,,,,,,,,,,,,,
