Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,11.65,9.87,17.46,17.82,21.83,14.12,13.49,14.18
Expenses,10.18,5.35,21.93,11.02,20.92,16.06,13.96,10.63
  └─ Material Cost %,0.00%,0.00%,41.58%,-8.47%,32.71%,38.03%,33.65%,21.51%
  └─ Employee Cost %,49.36%,34.35%,59.79%,64.65%,47.46%,63.03%,49.81%,30.18%
Operating Profit,1.47,4.52,-4.47,6.80,0.91,-1.94,-0.47,3.55
OPM %,12.62%,45.80%,-25.60%,38.16%,4.17%,-13.74%,-3.48%,25.04%
Other Income,0.33,1.86,1.38,2.31,2.16,4.50,3.89,3.94
  └─ Other income normal,0.33,1.86,1.38,2.31,2.16,4.50,3.89,3.94
Interest,1.21,1.59,2.02,1.77,1.29,4.88,3.86,3.06
Depreciation,0.00,1.01,2.28,-0.08,1.38,1.85,1.72,1.78
Profit before tax,0.59,3.78,-7.39,7.42,0.40,-4.17,-2.16,2.65
Tax %,0.00%,31.48%,-2.98%,10.11%,47.50%,-4.80%,0.46%,0.00%
Net Profit,0.59,2.59,-7.17,6.68,0.21,-3.97,-2.16,2.64
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.22,0.02,0.18
  └─ Profit excl Excep,0.59,2.59,-7.17,6.68,0.21,-3.97,-2.16,2.64
  └─ Profit for PE,0.59,2.59,-7.17,6.68,0.21,-3.75,-2.14,2.82
  └─ Profit for EPS,0.59,2.59,-7.17,6.68,0.21,-3.75,-2.14,2.82
EPS in Rs,1.74,1.52,-3.08,2.87,0.09,-1.61,-0.92,1.21
Raw PDF,,,,,,,,
