Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,41.30,40.43,61.10,53.82,39.20,38.77,41.74,48.10,38.11,36.73,45.33,46.46,45.39
  └─ YOY Sales Growth %,-41.59%,-12.70%,82.01%,28.17%,-5.08%,-4.11%,-31.69%,-10.63%,-2.78%,-5.26%,8.60%,-3.41%,19.10%
Expenses,44.18,38.41,49.65,46.17,46.20,40.11,39.90,43.54,38.88,37.77,41.30,39.93,41.61
  └─ Material Cost %,3.10%,4.16%,4.03%,3.64%,3.70%,3.53%,3.79%,5.49%,3.02%,4.87%,3.93%,4.41%,3.70%
  └─ Employee Cost %,23.63%,22.80%,16.17%,17.99%,28.34%,24.30%,23.84%,21.41%,28.31%,24.58%,24.49%,23.96%,26.37%
Operating Profit,-2.88,2.02,11.45,7.65,-7.00,-1.34,1.84,4.56,-0.77,-1.04,4.03,6.53,3.78
OPM %,-6.97%,5.00%,18.74%,14.21%,-17.86%,-3.46%,4.41%,9.48%,-2.02%,-2.83%,8.89%,14.06%,8.33%
Other Income,5.22,2.44,1.85,1.13,8.53,2.44,1.92,1.77,6.65,3.01,1.03,0.70,4.92
  └─ Exceptional items,-0.25,0.93,0.00,-0.05,-0.99,0.00,0.00,0.00,-0.36,0.00,0.00,-1.27,-2.22
  └─ Other income normal,5.47,1.51,1.85,1.18,9.52,2.44,1.92,1.77,7.01,3.01,1.03,1.97,7.14
Interest,3.28,3.57,3.64,3.48,4.07,3.26,3.54,3.17,3.55,3.14,3.27,3.48,3.29
Depreciation,5.46,4.92,5.08,4.98,4.80,4.51,4.42,4.94,5.05,4.79,5.33,5.15,5.51
Profit before tax,-6.40,-4.03,4.58,0.32,-7.34,-6.67,-4.20,-1.78,-2.72,-5.96,-3.54,-1.40,-0.10
Tax %,8.91%,-5.21%,9.61%,134.38%,-4.50%,0.60%,-0.71%,25.84%,53.68%,1.34%,1.69%,3.57%,540.00%
Net Profit,-6.86,-3.80,4.32,-0.19,-6.99,-6.78,-4.15,-2.17,-4.20,-6.09,-3.56,-1.46,-0.70
  └─ Profit from Associates,0,0,0,-0,0,-0,0,0,-0,-0,0,0,-0
  └─ Exceptional items AT,-0,1,0,-0,-1,0,0,0,-0,0,0,-1,-2
  └─ Profit excl Excep,-7,-5,4,-0,-6,-7,-4,-2,-4,-6,-4,-0,1
  └─ Profit for PE,-7,-5,4,-0,-6,-7,-4,-2,-4,-6,-4,-0,1
  └─ Profit for EPS,-7,-4,4,-0,-7,-7,-4,-2,-4,-6,-4,-1,-1
  └─ YOY Profit Growth %,-141%,-628%,152%,95%,9%,-43%,-196%,-1450%,33%,10%,14%,89%,124%
EPS in Rs,-3.04,-1.68,1.91,-0.08,-3.09,-3.00,-1.84,-0.96,-1.86,-2.70,-1.58,-0.65,-0.31
Raw PDF,,,,,,,,,,,,,
