Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,401,437,492,564,578,585,576,603,605,627,721,742
  └─ YOY Sales Growth %,,,,,43.92%,34.04%,16.99%,6.84%,4.79%,7.21%,25.18%,23.09%
Interest,164,174,184,204,209,205,214,200,216,208,231,239
Expenses,126,154,200,242,246,244,267,367,283,295,354,326
  └─ Employee Cost %,13.36%,13.20%,12.78%,11.96%,12.19%,12.32%,12.82%,11.34%,12.55%,13.45%,11.80%,11.51%
Financing Profit,111,108,108,118,123,136,95,36,106,125,136,177
Financing Margin %,28%,25%,22%,21%,21%,23%,17%,6%,18%,20%,19%,24%
Other Income,4,3,5,1,5,1,5,4,2,1,4,3
  └─ Other income normal,3.96,2.85,4.62,0.89,4.68,0.62,4.63,4.20,2.27,1.25,3.82,3.44
Depreciation,3,4,5,5,4,3,6,5,4,5,5,5
Profit before tax,112,107,108,114,123,134,94,35,104,121,135,176
Tax %,19%,26%,24%,25%,24%,28%,22%,-10%,25%,25%,24%,24%
Net Profit,91,79,82,86,94,96,73,38,78,91,102,133
  └─ Minority share,-3,-3,-7,3,-0,2,2,-1,3,1,-1,-0
  └─ Profit excl Excep,91,79,82,86,94,96,73,38,78,91,102,133
  └─ Profit for PE,88,77,75,89,93,98,76,38,81,92,101,132
  └─ Profit for EPS,88,77,75,89,93,98,76,38,81,92,101,132
  └─ YOY Profit Growth %,,,,,7%,28%,0%,-57%,-13%,-6%,33%,251%
EPS in Rs,9.85,8.59,8.45,9.94,10.45,6.05,4.69,2.34,5.02,5.68,6.24,8.20
Gross NPA %,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,
