Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,3.35,4.71,4.38,5.78,7.26
Expenses,1.71,1.77,1.39,2.26,3.28
  └─ Employee Cost %,32.24%,19.75%,13.70%,17.30%,8.95%
Operating Profit,1.64,2.94,2.99,3.52,3.98
OPM %,48.96%,62.42%,68.26%,60.90%,54.82%
Other Income,0.88,0.12,0.04,0.25,0.31
  └─ Exceptional items,0.75,0.04,0.00,0.00,0.00
  └─ Other income normal,0.13,0.08,0.04,0.25,0.31
Interest,0.03,0.00,0.00,0.00,0.00
Depreciation,0.36,0.49,0.60,0.50,0.67
Profit before tax,2.13,2.57,2.43,3.27,3.62
Tax %,25.82%,23.74%,43.62%,33.03%,30.66%
Net Profit,1.57,1.96,1.37,2.19,2.51
  └─ Minority share,0.04,0.04,0.35,0.41,0.25
  └─ Exceptional items AT,0.54,0.03,0.00,0.00,0.00
  └─ Profit excl Excep,1.03,1.93,1.37,2.19,2.51
  └─ Profit for PE,1.07,1.97,1.72,2.60,2.76
  └─ Profit for EPS,1.61,2.00,1.72,2.60,2.76
EPS in Rs,2.19,2.72,2.34,2.49,2.64
Raw PDF,,,,,
