Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.16,106.13,19.19,43.72,34.42,84.42,18.77,28.04,19.93,50.93
  └─ YOY Sales Growth %,,,,,143.08%,-20.46%,-2.19%,-35.86%,-42.10%,-39.67%
Expenses,24.35,76.22,25.37,53.50,35.08,77.30,20.84,23.30,16.91,42.75
  └─ Material Cost %,88%,58%,75%,68%,68%,69%,73%,59%,42%,61%
  └─ Employee Cost %,50%,6%,31%,31%,22%,11%,24%,11%,20%,12%
Operating Profit,-10.19,29.91,-6.18,-9.78,-0.66,7.12,-2.07,4.74,3.02,8.18
OPM %,-71.96%,28.18%,-32.20%,-22.37%,-1.92%,8.43%,-11.03%,16.90%,15.15%,16.06%
Other Income,-0.01,0.24,0.07,0.23,0.32,0.44,0.10,1.52,0.02,1.65
  └─ Other income normal,-0.01,0.24,0.07,0.23,0.32,0.44,0.10,1.52,0.02,1.65
Interest,0.74,1.43,1.06,2.08,1.00,2.10,1.21,1.09,1.03,1.56
Depreciation,0.64,1.68,0.29,0.66,0.32,0.93,0.51,0.41,0.58,0.90
Profit before tax,-11.58,27.04,-7.46,-12.29,-1.66,4.53,-3.69,4.76,1.43,7.37
Tax %,0.09%,8.17%,0.00%,0.00%,0.00%,49.23%,0.00%,4.20%,8.39%,35.14%
Net Profit,-11.59,24.82,-7.46,-12.29,-1.66,2.30,-3.69,4.57,1.31,4.78
  └─ Profit excl Excep,-12,25,-7,-12,-2,2,-4,5,1,5
  └─ Profit for PE,-12,25,-7,-12,-2,2,-4,5,1,5
  └─ Profit for EPS,-12,25,-7,-12,-2,2,-4,5,1,5
  └─ YOY Profit Growth %,,,,,86%,-91%,51%,137%,179%,108%
EPS in Rs,-10.35,22.07,-6.63,-10.93,-1.48,2.05,-3.28,4.06,1.16,4.25
Raw PDF,,,,,,,,,,
