Metric,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,185,199,277,261,297,269,269,274,310,252,281,288,319
  └─ YOY Sales Growth %,15.90%,13.91%,49.98%,31.64%,,,-2.90%,4.82%,4.26%,-6.54%,4.40%,5.17%,2.89%
Expenses,170,174,242,235,265,242,249,251,279,256,246,244,272
  └─ Material Cost %,70%,67%,64%,63%,65%,63%,65%,64%,66%,61%,61%,62%,64%
  └─ Employee Cost %,8%,7%,9%,10%,9%,10%,11%,10%,8%,12%,10%,11%,9%
Operating Profit,15,24,36,27,32,27,20,23,31,-4,35,44,47
OPM %,8%,12%,13%,10%,11%,10%,7%,8%,10%,-2%,12%,15%,15%
Other Income,2,2,4,5,7,5,-5,4,4,5,4,-2,9
  └─ Exceptional items,0.00,-0.21,0.00,0.00,0.00,0.00,-10.01,0.00,-1.38,0.00,0.00,-5.90,3.15
  └─ Other income normal,1.56,1.84,3.96,4.60,6.64,5.18,5.10,3.72,5.05,4.96,4.32,3.50,5.39
Interest,0,1,1,1,1,1,1,1,1,1,1,0,0
Depreciation,3,3,4,4,4,4,4,5,5,5,5,5,5
Profit before tax,13,22,35,26,34,27,9,21,29,-5,34,36,50
Tax %,25%,26%,26%,29%,24%,26%,28%,28%,38%,-22%,26%,26%,32%
Net Profit,10,16,26,19,25,20,7,15,18,-4,25,27,34
  └─ Exceptional items AT,0,-0,0,0,0,0,-6,0,-1,0,0,-4,2
  └─ Profit excl Excep,10,17,26,19,25,20,13,15,19,-4,25,31,32
  └─ Profit for PE,10,17,26,19,25,20,13,15,19,-4,25,31,32
  └─ Profit for EPS,10,16,26,19,25,20,7,15,18,-4,25,27,34
  └─ YOY Profit Growth %,11%,58%,160%,13%,,,-50%,-18%,-25%,-120%,95%,101%,69%
EPS in Rs,7.34,12.03,19.08,13.76,18.66,14.60,4.93,8.85,10.39,-2.27,14.37,15.35,19.65
Raw PDF,,,,,,,,,,,,,
