Metric,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.95,2.47,0.94,4.93,15.62,32.67,24.94,15.94,11.94,2.73
  └─ YOY Sales Growth %,,,,,,,1544%,1223%,2553%,223%,-24%,-92%
Expenses,0.05,0.06,0.79,1.81,1.07,5.56,14.95,31.45,23.58,20.54,8.38,3.35
  └─ Material Cost %,,,71%,-69%,100%,57%,59%,91%,90%,123%,37%,116%
  └─ Employee Cost %,,,1%,13%,2%,13%,6%,3%,3%,3%,2%,4%
Operating Profit,-0.05,-0.06,0.16,0.66,-0.13,-0.63,0.67,1.22,1.36,-4.60,3.56,-0.62
OPM %,,,16.84%,26.72%,-13.83%,-12.78%,4.29%,3.73%,5.45%,-28.86%,29.82%,-22.71%
Other Income,0.03,0.00,0.02,1.05,0.00,-0.35,0.00,0.00,0.09,1.20,0.35,0.01
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.49,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.03,0.00,0.02,1.05,0.00,0.14,0.00,0.00,0.09,1.20,0.35,0.01
Interest,0.00,0.00,0.00,0.44,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.03,0.00,0.08,0.02,0.05,0.07,0.11,0.12,0.03
Profit before tax,-0.02,-0.06,0.18,1.24,-0.13,-1.11,0.65,1.17,1.38,-3.51,3.79,-0.64
Tax %,0.00%,0.00%,22.22%,-3.23%,0.00%,0.00%,0.00%,5.13%,28.26%,-12.25%,0.79%,15.62%
Net Profit,-0.02,-0.06,0.14,1.28,-0.70,-1.22,0.35,0.28,0.43,-6.85,5.00,0.90
  └─ Profit from Associates,0,0,0,0,-1,-0,-0,-1,-1,-4,1,2
  └─ Exceptional items AT,0,0,0,0,0,-0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,-0,0,1,-1,-1,0,0,0,-7,5,1
  └─ Profit for PE,-0,-0,0,1,-1,-1,0,0,0,-7,5,1
  └─ Profit for EPS,-0,-0,0,1,-1,-1,0,0,0,-7,5,1
  └─ YOY Profit Growth %,,,,6500%,-1067%,,150%,-78%,161%,-838%,1329%,221%
EPS in Rs,-0.01,-0.03,0.06,0.59,-0.32,-0.56,0.16,0.13,0.20,-3.14,2.29,0.41
Raw PDF,,,,,,,,,,,,
