Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1396,1285,1584,1511,1856,1710,1952,1668,2042,1861,2077,2056,2467
  └─ YOY Sales Growth %,46.56%,35.15%,36.06%,29.61%,32.92%,33.08%,23.19%,10.45%,10.03%,8.88%,6.39%,23.25%,20.84%
Expenses,1149,1147,1483,1455,1833,1653,1876,1730,1805,1846,2010,2151,2325
  └─ Employee Cost %,17.46%,17.89%,16.68%,17.32%,15.71%,15.66%,15.01%,17.29%,12.55%,13.66%,14.22%,14.95%,13.87%
Operating Profit,247,138,101,56,23,57,76,-61,237,15,67,-95,143
OPM %,18%,11%,6%,4%,1%,3%,4%,-4%,12%,1%,3%,-5%,6%
Other Income,3354,18,1,27,249,5,19,2,8,10,12,12,6
  └─ Exceptional items,3289.41,0.00,0.00,0.00,230.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,64.16,17.84,1.19,26.66,18.78,4.88,19.12,1.78,7.97,10.31,12.33,11.55,5.88
Interest,29,26,25,24,18,13,13,5,6,7,10,9,10
Depreciation,14,19,18,18,17,16,15,14,17,13,12,11,12
Profit before tax,3557,112,59,41,236,33,67,-79,222,6,57,-103,127
Tax %,1%,17%,32%,18%,23%,18%,-2%,-20%,32%,-42%,20%,-26%,25%
Net Profit,3517,93,40,34,181,27,69,-63,151,8,46,-77,96
  └─ Minority share,-35,-30,-15,-14,-56,-9,-17,20,-52,2,-7,31,-13
  └─ Exceptional items AT,3252,0,0,0,176,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,265,93,40,34,5,27,69,-63,151,8,46,-77,96
  └─ Profit for PE,262,63,25,20,3,18,51,-43,98,10,39,-45,82
  └─ Profit for EPS,3482,63,25,20,125,18,51,-43,98,10,39,-45,82
  └─ YOY Profit Growth %,143%,183%,112%,117%,-99%,-71%,103%,-321%,2969%,-43%,-24%,-5%,-17%
EPS in Rs,107.61,1.94,0.78,0.59,3.80,0.55,1.55,-1.30,2.98,0.31,1.17,-1.36,2.47
Raw PDF,,,,,,,,,,,,,
