Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23.00,21.77,29.47,24.88,25.68,20.65,20.65,23.79,21.63,25.85,24.21,25.01,28.20
  └─ YOY Sales Growth %,-1.92%,27.76%,56.26%,27.39%,11.65%,-5.14%,-29.93%,-4.38%,-15.77%,25.18%,17.24%,5.13%,30.37%
Expenses,21.66,20.97,28.40,23.62,23.56,20.50,20.67,23.57,22.08,24.50,23.03,23.79,26.55
  └─ Material Cost %,0.13%,0.09%,0.07%,0.04%,0.04%,0.10%,0.10%,0.04%,0.09%,0.08%,0.04%,0.08%,0.04%
  └─ Employee Cost %,12.52%,12.49%,10.01%,13.18%,13.12%,17.24%,16.46%,14.59%,16.13%,15.44%,15.70%,13.99%,12.87%
Operating Profit,1.34,0.80,1.07,1.26,2.12,0.15,-0.02,0.22,-0.45,1.35,1.18,1.22,1.65
OPM %,5.83%,3.67%,3.63%,5.06%,8.26%,0.73%,-0.10%,0.92%,-2.08%,5.22%,4.87%,4.88%,5.85%
Other Income,0.12,0.23,0.38,0.44,0.03,0.08,0.33,-8.80,0.41,0.23,0.32,-0.54,0.69
  └─ Exceptional items,-0.01,-0.13,-0.01,-0.32,-0.92,-0.04,-0.03,-8.79,-0.05,0.00,0.00,-1.03,0.41
  └─ Other income normal,0.13,0.36,0.39,0.76,0.95,0.12,0.36,-0.01,0.46,0.23,0.32,0.49,0.28
Interest,0.23,0.17,0.19,0.34,0.19,0.18,0.19,0.20,0.19,0.22,0.25,0.27,0.25
Depreciation,0.10,0.10,0.10,0.10,0.10,0.05,0.07,0.08,0.08,0.06,0.06,0.07,0.07
Profit before tax,1.13,0.76,1.16,1.26,1.86,0.00,0.05,-8.86,-0.31,1.30,1.19,0.34,2.02
Tax %,42.48%,19.74%,27.59%,21.43%,47.85%,,40.00%,2.93%,64.52%,13.85%,21.01%,41.18%,18.32%
Net Profit,0.65,0.61,0.84,0.99,0.96,-0.14,0.04,-9.12,-0.51,1.11,0.93,0.20,1.66
  └─ Exceptional items AT,-0,-0,-0,-0,-0,0,-0,-9,-0,0,0,-1,0
  └─ Profit excl Excep,1,1,1,1,1,-0,0,-1,-0,1,1,1,1
  └─ Profit for PE,1,1,1,1,1,-0,0,-1,-0,1,1,1,1
  └─ Profit for EPS,1,1,1,1,1,-0,0,-9,-1,1,1,0,2
  └─ YOY Profit Growth %,27%,31%,23%,218%,117%,-138%,-93%,-147%,-134%,511%,1450%,264%,369%
EPS in Rs,0.30,0.28,0.38,0.45,0.44,-0.06,0.02,-4.16,-0.23,0.51,0.42,0.09,0.81
Raw PDF,,,,,,,,,,,,,
