Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,172.15,120.46,115.45,118.92,150.56,140.31,130.85,213.89
  └─ YOY Sales Growth %,,,,,-13%,16%,13%,80%
Expenses,160.83,118.28,106.71,105.80,122.68,120.15,119.47,196.67
  └─ Material Cost %,11.66%,18.17%,15.31%,6.96%,11.24%,18.94%,11.65%,18.77%
  └─ Employee Cost %,4.94%,6.51%,6.91%,5.35%,5.04%,5.72%,5.84%,3.21%
Operating Profit,11.32,2.18,8.74,13.12,27.88,20.16,11.38,17.22
OPM %,6.58%,1.81%,7.57%,11.03%,18.52%,14.37%,8.70%,8.05%
Other Income,3.02,2.89,3.31,6.98,2.74,2.32,1.58,13.87
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.84
  └─ Other income normal,3.02,2.89,3.31,6.98,2.74,2.32,1.58,1.03
Interest,3.02,3.41,3.51,2.81,3.47,3.27,5.50,15.04
Depreciation,7.01,7.11,7.07,6.89,6.68,6.74,8.15,14.04
Profit before tax,4.31,-5.45,1.47,10.40,20.47,12.47,-0.69,2.01
Tax %,34.80%,-25.87%,45.58%,23.65%,24.96%,27.19%,-20.29%,-135.32%
Net Profit,2.81,-4.05,0.81,7.95,15.35,9.07,-0.56,4.72
  └─ Exceptional items AT,0,0,0,0,0,0,0,13
  └─ Profit excl Excep,3,-4,1,8,15,9,-1,-8
  └─ Profit for PE,3,-4,1,8,15,9,-1,-8
  └─ Profit for EPS,3,-4,1,8,15,9,-1,5
  └─ YOY Profit Growth %,,,,,446%,324%,-169%,-202%
EPS in Rs,2.01,-2.89,0.58,5.68,10.96,6.48,-0.40,3.37
Raw PDF,,,,,,,,
