Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,0.00,0.41,0.00,0.01,0.02,0.04,0.00,0.00,5.14,2.14
  └─ YOY Sales Growth %,,,,,,-90%,,-100%,25600%,5250%
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.03,0.16,0.38,0.15,0.20,0.17,0.24,0.25,0.89,1.50
  └─ Material Cost %,,0.00%,,0.00%,0.00%,0.00%,,,0.00%,-1.40%
  └─ Employee Cost %,,2.44%,,100.00%,100.00%,50.00%,,,7.98%,33.18%
Financing Profit,-0.03,0.25,-0.38,-0.14,-0.18,-0.13,-0.24,-0.25,4.25,0.64
Financing Margin %,,60.98%,,-1400.00%,-900.00%,-325.00%,,,82.68%,29.91%
Other Income,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.58
Profit before tax,0.01,0.25,-0.38,-0.14,-0.18,-0.13,-0.24,-0.25,4.23,-0.94
Tax %,0.00%,12.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.68%,-12.77%
Net Profit,0.01,0.22,-0.38,-0.14,-0.18,-0.13,-0.24,-0.25,3.67,-0.37
  └─ Profit excl Excep,0,0,-0,-0,-0,-0,-0,-0,4,-0
  └─ Profit for PE,0,0,-0,-0,-0,-0,-0,-0,4,-0
  └─ Profit for EPS,0,0,-0,-0,-0,-0,-0,-0,4,-0
  └─ YOY Profit Growth %,,,,,-1900%,-159%,37%,-79%,2139%,-185%
EPS in Rs,0.01,0.25,-0.36,-0.13,-0.16,-0.12,-0.22,-0.17,1.71,-0.17
Gross NPA %,,,,,,,,,,
Net NPA %,,,,,,,,,,
Raw PDF,,,,,,,,,,
