Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,10243,11104,11688,12052,12677,13079,13682,14272,15334,14737,15153,15051,14564
  └─ YOY Sales Growth %,6.33%,16.91%,17.40%,23.21%,23.76%,17.78%,17.06%,18.42%,20.95%,12.68%,10.75%,5.46%,-5.02%
Interest,6496,7049,7350,7654,7896,8020,8506,8837,8768,8934,9131,9243,8931
Expenses,-149,332,-492,240,-425,717,97,263,1084,217,476,655,1231
  └─ Employee Cost %,0.29%,0.49%,0.42%,0.58%,0.52%,0.48%,0.48%,0.38%,0.56%,0.43%,0.44%,0.47%,0.48%
Financing Profit,3896,3723,4831,4158,5206,4341,5079,5172,5482,5587,5546,5154,4402
Financing Margin %,38%,34%,41%,34%,41%,33%,37%,36%,36%,38%,37%,34%,30%
Other Income,12,4,13,20,29,14,24,15,15,87,10,-11,20
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.28,0.00
  └─ Other income normal,11.57,4.21,13.02,19.77,29.48,13.78,23.88,14.99,14.83,86.53,9.71,7.52,19.57
Depreciation,6,6,6,6,6,6,6,6,6,7,7,7,7
Profit before tax,3901,3721,4838,4172,5229,4349,5097,5181,5490,5666,5549,5136,4415
Tax %,21%,20%,22%,21%,22%,20%,21%,21%,21%,21%,20%,21%,24%
Net Profit,3065,2968,3790,3308,4079,3460,4038,4076,4310,4466,4415,4052,3375
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-14,0
  └─ Profit excl Excep,3065,2968,3790,3308,4079,3460,4038,4076,4310,4466,4415,4067,3375
  └─ Profit for PE,3065,2968,3790,3308,4079,3460,4038,4076,4310,4466,4415,4067,3375
  └─ Profit for EPS,3065,2968,3790,3308,4079,3460,4038,4076,4310,4466,4415,4052,3375
  └─ YOY Profit Growth %,33%,21%,39%,13%,33%,17%,7%,23%,6%,29%,9%,-0%,-22%
EPS in Rs,11.64,11.27,14.39,12.56,15.49,13.14,15.33,15.48,16.37,16.96,16.77,15.39,12.82
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
