Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,67,94,109,184,196,246
Expenses,52,73,86,146,152,204
  └─ Material Cost %,49.76%,57.21%,42.74%,23.53%,28.25%,14.34%
  └─ Employee Cost %,4.99%,5.05%,4.40%,3.96%,3.63%,4.35%
Operating Profit,15,21,23,37,44,42
OPM %,22%,22%,21%,20%,23%,17%
Other Income,0,1,1,2,1,1
  └─ Other income normal,0.06,0.63,0.54,1.62,0.68,0.60
Interest,3,4,4,8,10,12
Depreciation,2,2,2,3,3,4
Profit before tax,10,15,18,28,31,26
Tax %,29%,25%,27%,26%,25%,28%
Net Profit,7,11,13,20,23,19
  └─ Minority share,-0.09,-0.07,-0.04,-0.13,-0.06,-0.25
  └─ Profit excl Excep,7.36,11.46,12.80,20.48,23.27,19.15
  └─ Profit for PE,7.27,11.39,12.76,20.35,23.21,18.90
  └─ Profit for EPS,7.27,11.39,12.76,20.35,23.21,18.90
EPS in Rs,15.15,4.56,5.11,8.15,9.29,7.57
Raw PDF,,,,,,
