Metric,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017
Sales,10.14,10.95,5.75,6.10,0.89
  └─ YOY Sales Growth %,,,,,-91%
Expenses,10.23,10.98,5.83,6.15,1.04
  └─ Material Cost %,99%,99%,99%,99%,99%
  └─ Employee Cost %,1%,1%,1%,1%,10%
Operating Profit,-0.09,-0.03,-0.08,-0.05,-0.15
OPM %,-0.89%,-0.27%,-1.39%,-0.82%,-16.85%
Other Income,0.19,0.22,0.22,0.22,0.22
  └─ Other income normal,0.19,0.22,0.22,0.22,0.22
Interest,0.00,0.00,0.00,0.00,0.01
Depreciation,0.05,0.03,0.03,0.03,0.03
Profit before tax,0.05,0.16,0.11,0.14,0.03
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.05,0.16,0.11,0.14,0.03
  └─ Profit excl Excep,0.05,0.16,0.11,0.14,0.03
  └─ Profit for PE,0.05,0.16,0.11,0.14,0.03
  └─ Profit for EPS,0.05,0.16,0.11,0.14,0.03
  └─ YOY Profit Growth %,,,,,-40.00%
EPS in Rs,0.19,0.61,0.42,0.53,0.11
Raw PDF,,,,,
