Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,130,146,152,156,161,162,198,188
  └─ YOY Sales Growth %,,,,,23.93%,11.30%,30.05%,20.49%
Expenses,92,97,125,81,101,109,142,144
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.49%
  └─ Employee Cost %,1.48%,1.41%,1.54%,1.54%,1.40%,1.36%,1.35%,1.40%
Operating Profit,38,49,27,75,60,53,56,44
OPM %,29%,34%,18%,48%,37%,33%,28%,23%
Other Income,1,32,0,1,2,4,9,15
  └─ Exceptional items,0.00,31.78,0.00,0.02,0.01,-0.01,0.00,0.00
  └─ Other income normal,1.26,0.48,0.49,0.55,1.78,3.87,8.71,15.38
Interest,3,1,3,5,7,3,4,6
Depreciation,4,5,5,5,5,6,7,8
Profit before tax,32,75,19,66,50,48,54,46
Tax %,22%,25%,29%,25%,25%,10%,40%,12%
Net Profit,25,56,14,49,37,43,32,40
  └─ Exceptional items AT,0.00,23.78,0.00,0.02,0.01,-0.01,0.00,0.00
  └─ Profit excl Excep,24.86,32.31,13.79,49.21,37.20,42.71,32.47,40.32
  └─ Profit for PE,24.86,32.31,13.79,49.21,37.20,42.71,32.47,40.32
  └─ Profit for EPS,24.86,56.09,13.79,49.23,37.21,42.70,32.47,40.32
  └─ YOY Profit Growth %,,,,,49.64%,32.19%,135.46%,-18.07%
EPS in Rs,2486.00,3.83,0.94,3.36,2.54,2.62,1.99,2.47
Raw PDF,,,,,,,,
