Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,71,66,82,96,91,111,132,115,152,153,179
  └─ YOY Sales Growth %,,,,,27.97%,69.82%,60.37%,20.36%,66.93%,37.46%,36.49%
Expenses,58,54,64,78,73,96,113,98,122,122,146
  └─ Material Cost %,71%,72%,71%,74%,71%,76%,75%,74%,69%,66%,67%
  └─ Employee Cost %,5%,5%,3%,4%,5%,5%,5%,6%,7%,7%,8%
Operating Profit,13,12,18,18,18,16,19,18,30,31,34
OPM %,19%,18%,21%,18%,20%,14%,14%,15%,20%,20%,19%
Other Income,1,1,2,1,1,5,4,4,2,2,2
  └─ Other income normal,0.87,1.36,1.69,1.19,1.44,4.89,4.33,3.58,2.39,2.26,1.92
Interest,1,1,1,1,1,0,1,1,1,2,3
Depreciation,1,1,1,1,1,1,1,2,5,6,6
Profit before tax,12,11,17,17,17,19,21,18,27,26,27
Tax %,29%,29%,30%,29%,29%,28%,30%,32%,33%,12%,13%
Net Profit,9,8,12,12,12,14,15,12,18,23,23
  └─ Profit excl Excep,9,8,12,12,12,14,15,12,18,23,23
  └─ Profit for PE,9,8,12,12,12,14,15,12,18,23,23
  └─ Profit for EPS,9,8,12,12,12,14,15,12,18,23,23
  └─ YOY Profit Growth %,,,,,43%,74%,23%,4%,46%,65%,57%
EPS in Rs,1.96,1.71,2.61,2.59,1.98,2.21,2.39,2.00,2.90,3.65,3.76
Raw PDF,,,,,,,,,,,
