Metric,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,6.22,7.86,6.38,10.20,5.20,6.03,8.48,14.01,12.04,32.64,39.83,55.43
  └─ YOY Sales Growth %,,,,64%,,-23%,33%,37%,132%,441%,370%,296%
Expenses,6.01,7.89,6.37,10.21,5.00,5.90,7.76,15.01,11.10,33.10,41.07,53.44
  └─ Material Cost %,85%,84%,78%,80%,80%,87%,76%,100%,86%,93%,95%,90%
  └─ Employee Cost %,3%,2%,4%,2%,3%,3%,4%,2%,3%,4%,3%,2%
Operating Profit,0.21,-0.03,0.01,-0.01,0.20,0.13,0.72,-1.00,0.94,-0.46,-1.24,1.99
OPM %,3.38%,-0.38%,0.16%,-0.10%,3.85%,2.16%,8.49%,-7.14%,7.81%,-1.41%,-3.11%,3.59%
Other Income,0.06,0.15,0.14,0.31,0.57,0.75,0.81,0.94,0.69,0.46,0.98,1.02
  └─ Other income normal,0.06,0.15,0.14,0.31,0.57,0.75,0.81,0.94,0.69,0.46,0.98,1.02
Interest,0.06,0.07,0.00,0.16,0.10,0.07,0.16,0.11,0.12,0.23,0.41,0.48
Depreciation,0.01,0.00,0.12,0.03,0.16,0.30,0.10,0.26,0.27,0.56,0.67,0.68
Profit before tax,0.20,0.05,0.03,0.11,0.51,0.51,1.27,-0.43,1.24,-0.79,-1.34,1.85
Tax %,-420.00%,80.00%,-100.00%,345.45%,35.29%,-39.22%,40.16%,-37.21%,2.42%,48.10%,-37.31%,27.03%
Net Profit,1.05,0.01,0.06,-0.27,0.33,0.70,0.76,-0.27,1.22,-1.18,-0.83,1.36
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,-0
  └─ Profit excl Excep,1,0,0,-0,0,1,1,-0,1,-1,-1,1
  └─ Profit for PE,1,0,0,-0,0,1,1,-0,1,-1,-1,1
  └─ Profit for EPS,1,0,0,-0,0,1,1,-0,1,-1,-1,1
  └─ YOY Profit Growth %,,,,-126%,,6900%,1167%,0%,270%,-269%,-209%,556%
EPS in Rs,0.02,0.00,0.00,-0.00,0.01,0.01,0.01,-0.00,0.02,-0.02,-0.01,0.02
Raw PDF,,,,,,,,,,,,
