Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,432.92,490.75,6.06,16.91,12.25,4.94,107.71,89.22,58.64,16.63,14.33,19.05,15.94
  └─ YOY Sales Growth %,-6%,27%,-97%,-96%,-97%,-99%,1677%,428%,379%,237%,-87%,-79%,-73%
Expenses,416.36,466.67,7.28,15.63,12.51,7.06,106.47,90.58,61.89,18.20,16.60,21.76,17.64
  └─ Material Cost %,85%,88%,69%,77%,72%,51%,94%,100%,99%,76%,80%,83%,80%
  └─ Employee Cost %,2%,2%,17%,4%,8%,27%,1%,0%,2%,7%,9%,8%,11%
Operating Profit,16.56,24.08,-1.22,1.28,-0.26,-2.12,1.24,-1.36,-3.25,-1.57,-2.27,-2.71,-1.70
OPM %,3.83%,4.91%,-20.13%,7.57%,-2.12%,-42.91%,1.15%,-1.52%,-5.54%,-9.44%,-15.84%,-14.23%,-10.66%
Other Income,6.71,3.93,2.25,2.50,0.62,3.96,1.35,3.16,6.45,4.04,4.26,4.83,3.93
  └─ Other income normal,6.71,3.93,2.25,2.50,0.62,3.96,1.35,3.16,6.45,4.04,4.26,4.83,3.93
Interest,9.16,9.77,0.11,1.24,0.09,0.04,1.69,1.27,1.34,1.29,1.32,1.26,1.40
Depreciation,3.33,3.05,0.39,0.60,0.34,1.62,0.55,0.56,0.59,0.75,0.76,0.77,0.78
Profit before tax,10.78,15.19,0.53,1.94,-0.07,0.18,0.35,-0.03,1.27,0.43,-0.09,0.09,0.05
Tax %,38.78%,18.30%,105.66%,4.64%,14.29%,-1716.67%,31.43%,633.33%,15.75%,2.33%,122.22%,88.89%,120.00%
Net Profit,6.60,12.40,-0.03,1.84,-0.07,3.26,0.24,-0.22,1.07,0.42,-0.21,0.00,-0.01
  └─ Profit excl Excep,7,12,-0,2,-0,3,0,-0,1,0,-0,0,-0
  └─ Profit for PE,7,12,-0,2,-0,3,0,-0,1,0,-0,0,-0
  └─ Profit for EPS,7,12,-0,2,-0,3,0,-0,1,0,-0,0,-0
  └─ YOY Profit Growth %,36%,-24%,-133%,-61%,-101%,-74%,900%,-112%,1629%,-87%,-188%,100%,-101%
EPS in Rs,0.70,1.32,-0.00,0.20,-0.01,0.35,0.03,-0.02,0.11,0.04,-0.02,0.00,-0.00
Raw PDF,,,,,,,,,,,,,
