Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.77,12.61,20.66,22.71,20.94,17.28,20.12,19.39
  └─ YOY Sales Growth %,,,,,0.82%,37.03%,-2.61%,-14.62%
Expenses,18.17,10.84,18.66,21.04,19.01,15.17,18.24,16.93
  └─ Material Cost %,75%,74%,81%,81%,79%,75%,76%,65%
  └─ Employee Cost %,2%,3%,2%,2%,2%,3%,3%,3%
Operating Profit,2.60,1.77,2.00,1.67,1.93,2.11,1.88,2.46
OPM %,12.52%,14.04%,9.68%,7.35%,9.22%,12.21%,9.34%,12.69%
Other Income,0.06,0.06,0.06,4.42,0.65,0.65,1.48,1.50
  └─ Other income normal,0.06,0.06,0.06,4.42,0.65,0.65,1.48,1.50
Interest,0.33,0.44,0.37,0.31,0.42,0.67,0.77,0.68
Depreciation,0.23,0.23,0.23,0.23,0.38,0.53,0.58,0.62
Profit before tax,2.10,1.16,1.46,5.55,1.78,1.56,2.01,2.66
Tax %,25.24%,26.72%,25.34%,5.77%,16.29%,15.38%,6.97%,13.53%
Net Profit,1.58,0.85,1.09,5.24,1.49,1.32,1.88,2.30
  └─ Profit excl Excep,2,1,1,5,1,1,2,2
  └─ Profit for PE,2,1,1,5,1,1,2,2
  └─ Profit for EPS,2,1,1,5,1,1,2,2
  └─ YOY Profit Growth %,,,,,-6%,55%,72%,-56%
EPS in Rs,0.11,0.06,0.07,0.34,0.10,0.09,0.12,0.15
Raw PDF,,,,,,,,
