Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,446,484,308,352,432,522,377,371,453,501,306,283,327
  └─ YOY Sales Growth %,19.23%,6.98%,-13.69%,-10.39%,-3.18%,7.89%,22.50%,5.53%,4.75%,-4.14%,-18.75%,-23.74%,-27.72%
Expenses,437,464,309,344,417,495,379,377,442,484,315,302,353
  └─ Material Cost %,61%,61%,58%,59%,60%,61%,58%,59%,59%,63%,57%,61%,64%
  └─ Employee Cost %,8%,9%,12%,11%,9%,8%,12%,11%,9%,8%,14%,14%,12%
Operating Profit,10,20,-2,8,15,27,-2,-6,10,16,-9,-19,-26
OPM %,2%,4%,-1%,2%,3%,5%,-0%,-2%,2%,3%,-3%,-7%,-8%
Other Income,20,12,7,5,2,9,2,1,14,3,2,-12,5
  └─ Exceptional items,0.00,7.60,0.00,0.00,0.00,3.84,0.00,0.00,7.79,0.00,0.00,-13.64,0.00
  └─ Other income normal,20.24,4.89,6.82,4.53,1.50,4.83,2.06,1.24,6.52,3.29,1.65,1.84,4.64
Interest,26,3,3,3,4,4,6,6,7,6,7,7,9
Depreciation,8,8,8,8,8,9,9,9,12,10,10,10,11
Profit before tax,-4,22,-6,1,3,22,-15,-20,6,3,-25,-48,-42
Tax %,-388%,21%,3%,28%,-56%,29%,-20%,-22%,-36%,51%,-27%,-21%,12%
Net Profit,13,18,-6,1,5,16,-12,-15,8,2,-18,-38,-47
  └─ Exceptional items AT,0,6,0,0,0,3,0,0,8,0,0,-13,0
  └─ Profit excl Excep,13,12,-6,1,5,13,-12,-15,-0,2,-18,-25,-47
  └─ Profit for PE,13,12,-6,1,5,13,-12,-15,-0,2,-18,-25,-47
  └─ Profit for EPS,13,18,-6,1,5,16,-12,-15,8,2,-18,-38,-47
  └─ YOY Profit Growth %,115%,-44%,-280%,-84%,-58%,13%,-100%,-2011%,-103%,-88%,-56%,-58%,-31347%
EPS in Rs,8.24,11.17,-3.70,0.51,3.45,10.07,-7.38,-9.79,4.83,1.03,-11.46,-23.95,-29.75
Raw PDF,,,,,,,,,,,,,
