Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,20.89,14.36,26.90,7.62,9.58,5.09
Expenses,15.20,9.76,23.63,26.09,4.96,6.23
  └─ Material Cost %,2%,12%,38%,-0%,2%,21%
  └─ Employee Cost %,12%,19%,11%,46%,22%,55%
Operating Profit,5.69,4.60,3.27,-18.47,4.62,-1.14
OPM %,27.24%,32.03%,12.16%,-242.39%,48.23%,-22.40%
Other Income,1.07,0.94,0.76,1.42,1.20,2.40
  └─ Other income normal,1.07,0.94,0.76,1.42,1.20,2.40
Interest,0.00,0.03,0.02,0.36,0.16,-0.07
Depreciation,1.42,2.51,1.59,2.97,3.08,3.41
Profit before tax,5.34,3.00,2.42,-20.38,2.58,-2.08
Tax %,25.66%,29.33%,38.02%,-26.50%,25.19%,-24.52%
Net Profit,3.96,2.12,1.51,-14.98,1.94,-1.56
  └─ Minority share,0.00,-0.01,-0.02,0.05,0.00,0.00
  └─ Profit excl Excep,3.96,2.12,1.51,-14.98,1.94,-1.56
  └─ Profit for PE,3.96,2.11,1.49,-14.93,1.94,-1.56
  └─ Profit for EPS,3.96,2.11,1.49,-14.93,1.94,-1.56
EPS in Rs,1.65,0.88,0.62,-6.22,0.81,-0.65
Raw PDF,,,,,,
