Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,73,54,58,63,78,74,90,112,142,157,163,170,171
  └─ YOY Sales Growth %,28.05%,31.24%,9.04%,20.14%,7.29%,37.20%,54.52%,78.64%,81.92%,112.08%,81.53%,52.02%,19.89%
Expenses,51,42,48,52,66,61,73,91,116,126,128,130,130
  └─ Material Cost %,16.79%,8.18%,8.62%,16.92%,13.03%,5.70%,8.26%,5.90%,12.19%,6.02%,7.39%,6.83%,11.50%
  └─ Employee Cost %,29.80%,42.49%,39.09%,34.56%,27.88%,34.76%,36.92%,31.48%,21.07%,22.35%,19.91%,20.48%,18.86%
Operating Profit,22,11,10,11,12,13,17,21,27,30,36,40,40
OPM %,30%,21%,17%,17%,16%,18%,19%,19%,19%,19%,22%,23%,24%
Other Income,4,2,3,4,6,5,6,6,6,7,8,6,6
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.16,0.00
  └─ Other income normal,3.70,2.36,3.04,4.20,5.86,4.64,5.64,6.16,5.83,7.27,8.42,6.84,6.35
Interest,2,2,1,1,1,0,0,0,2,1,1,2,2
Depreciation,1,1,1,1,1,1,2,3,3,3,3,3,3
Profit before tax,22,11,10,13,16,16,21,24,28,34,40,41,42
Tax %,3%,23%,54%,18%,27%,26%,44%,26%,23%,7%,35%,5%,11%
Net Profit,21,8,5,10,12,12,12,18,22,32,26,39,37
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-1,0
  └─ Profit excl Excep,21,8,5,10,12,12,12,18,22,32,26,40,37
  └─ Profit for PE,21,8,5,10,12,12,12,18,22,32,26,40,37
  └─ Profit for EPS,21,8,5,10,12,12,12,18,22,32,26,39,37
  └─ YOY Profit Growth %,532%,63%,211%,281%,-45%,42%,150%,72%,88%,166%,121%,124%,70%
EPS in Rs,13.76,5.42,3.02,6.71,7.11,7.29,6.68,10.21,12.54,18.14,14.43,21.79,17.75
Raw PDF,,,,,,,,,,,,,
