Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,333,349,403,417,431,460,487,499,530,564
  └─ YOY Sales Growth %,,,,,29.46%,31.92%,20.80%,19.71%,23.02%,22.57%
Expenses,244,241,300,310,316,329,360,363,386,403
  └─ Material Cost %,8.52%,12.13%,9.41%,10.68%,8.31%,9.53%,9.77%,9.26%,8.81%,9.27%
  └─ Employee Cost %,19.14%,16.87%,18.51%,19.48%,19.47%,18.93%,19.60%,19.88%,19.88%,18.40%
Operating Profit,89,108,104,107,115,131,128,136,144,161
OPM %,27%,31%,26%,26%,27%,28%,26%,27%,27%,29%
Other Income,12,20,6,12,13,13,13,8,11,14
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-2.50,0.00,0.00,0.00,1.33
  └─ Other income normal,11.99,20.20,6.00,11.88,12.71,15.43,13.39,7.93,10.54,12.58
Interest,22,27,27,28,28,25,25,23,21,22
Depreciation,43,47,56,57,58,60,63,68,69,77
Profit before tax,36,54,27,33,41,59,54,54,65,77
Tax %,37%,24%,33%,36%,31%,27%,29%,32%,33%,35%
Net Profit,23,41,18,21,28,43,38,36,44,50
  └─ Minority share,-2.77,-2.57,-6.24,-4.76,-5.90,-9.98,-8.01,-6.80,-9.89,-10.25
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,-1.82,0.00,0.00,0.00,0.87
  └─ Profit excl Excep,22.58,41.32,18.22,21.34,28.24,44.37,38.06,36.49,43.63,49.09
  └─ Profit for PE,19.81,38.75,11.98,16.58,22.34,33.96,30.05,29.69,33.74,39.02
  └─ Profit for EPS,19.81,38.75,11.98,16.58,22.34,32.57,30.05,29.69,33.74,39.71
  └─ YOY Profit Growth %,,,,,12.77%,-12.35%,150.83%,79.07%,51.03%,14.88%
EPS in Rs,,,,,0.72,1.03,0.95,0.94,1.07,1.25
Raw PDF,,,,,,,,,,
