Metric,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,41.97,27.43,18.08,51.78,21.37,37.50,29.82,30.59,22.06,25.74,26.91,39.72
  └─ YOY Sales Growth %,,,,23.37%,-22.09%,,64.93%,-40.92%,3.23%,-31.36%,-9.76%,29.85%
Expenses,42.18,27.03,19.78,49.37,21.60,36.90,29.51,30.95,22.35,24.95,26.38,39.82
  └─ Material Cost %,100%,97%,106%,95%,98%,98%,98%,100%,100%,96%,94%,98%
  └─ Employee Cost %,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,-1%
Operating Profit,-0.21,0.40,-1.70,2.41,-0.23,0.60,0.31,-0.36,-0.29,0.79,0.53,-0.10
OPM %,-0.50%,1.46%,-9.40%,4.65%,-1.08%,1.60%,1.04%,-1.18%,-1.31%,3.07%,1.97%,-0.25%
Other Income,0.88,0.11,2.09,-1.70,0.67,-0.17,0.35,1.16,0.79,-0.17,0.38,0.80
  └─ Other income normal,0.88,0.11,2.09,-1.70,0.67,-0.17,0.35,1.16,0.79,-0.17,0.38,0.80
Interest,0.48,0.25,0.32,0.16,0.30,0.28,0.42,0.40,0.36,0.54,0.45,0.23
Depreciation,0.02,0.02,0.00,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01
Profit before tax,0.17,0.24,0.07,0.51,0.12,0.13,0.22,0.39,0.12,0.06,0.43,0.46
Tax %,52.94%,25.00%,28.57%,23.53%,25.00%,69.23%,22.73%,20.51%,33.33%,33.33%,30.23%,39.13%
Net Profit,0.09,0.18,0.04,0.40,0.09,0.05,0.17,0.31,0.08,0.04,0.30,0.28
  └─ Profit excl Excep,0.09,0.18,0.04,0.40,0.09,0.05,0.17,0.31,0.08,0.04,0.30,0.28
  └─ Profit for PE,0.09,0.18,0.04,0.40,0.09,0.05,0.17,0.31,0.08,0.04,0.30,0.28
  └─ Profit for EPS,0.09,0.18,0.04,0.40,0.09,0.05,0.17,0.31,0.08,0.04,0.30,0.28
  └─ YOY Profit Growth %,,,,344.44%,-50.00%,,325.00%,-22.50%,-11.11%,-20.00%,76.47%,-9.68%
EPS in Rs,0.15,0.30,0.07,0.67,0.15,0.08,0.28,0.52,0.13,0.07,0.50,0.47
Raw PDF,,,,,,,,,,,,
