Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,344,348,339,324,380,343,353,339,373,365,378,409,474
  └─ YOY Sales Growth %,-6.83%,-12.50%,5.44%,7.91%,10.68%,-1.38%,3.86%,4.47%,-1.95%,6.45%,7.31%,20.74%,27.06%
Expenses,293,306,304,285,326,288,311,296,338,310,325,352,400
  └─ Material Cost %,53%,55%,58%,54%,56%,49%,53%,54%,54%,51%,51%,52%,54%
  └─ Employee Cost %,12%,12%,12%,13%,11%,14%,13%,13%,12%,14%,14%,14%,11%
Operating Profit,51,42,35,40,55,55,42,43,35,55,54,57,73
OPM %,15%,12%,10%,12%,14%,16%,12%,13%,9%,15%,14%,14%,15%
Other Income,6,4,7,11,8,8,12,7,-17,11,10,7,11
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.68,0.00,0.00,0.00,0.00
  └─ Other income normal,5.82,4.00,6.65,11.09,7.75,7.90,12.08,6.72,11.03,10.73,10.45,6.79,10.54
Interest,3,3,2,3,3,3,3,2,1,3,3,5,6
Depreciation,9,10,10,10,10,10,10,10,10,11,11,12,13
Profit before tax,45,34,30,38,49,50,41,37,7,53,50,47,65
Tax %,27%,27%,31%,22%,26%,28%,29%,28%,133%,29%,26%,29%,28%
Net Profit,33,25,20,30,37,36,29,27,-2,38,36,34,47
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-18,0,0,0,0
  └─ Profit excl Excep,33,25,20,30,37,36,29,27,16,38,36,34,47
  └─ Profit for PE,33,25,20,30,37,36,29,27,16,38,36,34,47
  └─ Profit for EPS,33,25,20,30,37,36,29,27,-2,38,36,34,47
  └─ YOY Profit Growth %,9%,-20%,-27%,-6%,13%,47%,42%,-10%,-57%,5%,26%,26%,201%
EPS in Rs,3.58,2.70,2.24,3.26,4.04,3.96,3.18,2.93,-0.26,4.17,4.00,3.69,5.19
Raw PDF,,,,,,,,,,,,,
