Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,14.26,15.71,17.26,20.58,42.82,10.50,10.89,12.97,12.47,10.82
  └─ YOY Sales Growth %,,,,,200.28%,-33.16%,-36.91%,-36.98%,-70.88%,3.05%
Expenses,8.62,10.79,11.37,13.52,72.89,8.29,8.36,9.91,9.44,8.52
  └─ Material Cost %,-30.15%,-4.90%,-39.57%,-2.43%,23.96%,-3.33%,20.20%,2.54%,0.64%,6.01%
  └─ Employee Cost %,6.52%,4.58%,7.59%,4.96%,2.69%,8.86%,6.61%,5.47%,5.69%,4.99%
Operating Profit,5.64,4.92,5.89,7.06,-30.07,2.21,2.53,3.06,3.03,2.30
OPM %,39.55%,31.32%,34.13%,34.31%,-70.22%,21.05%,23.23%,23.59%,24.30%,21.26%
Other Income,0.31,-5.94,0.30,0.17,0.11,0.03,0.18,0.18,0.03,0.00
  └─ Exceptional items,0.00,-6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.31,0.56,0.30,0.17,0.11,0.03,0.18,0.18,0.03,0.00
Interest,0.09,0.05,0.06,0.16,0.06,0.01,0.01,0.12,0.53,0.01
Depreciation,-1.11,1.68,1.68,1.68,1.77,1.68,1.68,1.68,1.30,1.41
Profit before tax,6.97,-2.75,4.45,5.39,-31.79,0.55,1.02,1.44,1.23,0.88
Tax %,-4.59%,0.00%,0.00%,0.00%,-1.60%,0.00%,0.00%,0.00%,-52.85%,0.00%
Net Profit,7.29,-2.75,4.45,5.39,-31.28,0.55,1.02,1.44,1.88,0.88
  └─ Exceptional items AT,0,-6,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,7,4,4,5,-31,1,1,1,2,1
  └─ Profit for PE,7,4,4,5,-31,1,1,1,2,1
  └─ Profit for EPS,7,-3,4,5,-31,1,1,1,2,1
  └─ YOY Profit Growth %,,,,,-529%,-85%,-77%,-73%,106%,60%
EPS in Rs,0.84,-0.32,0.51,0.62,-3.60,0.06,0.12,0.17,0.22,0.10
Raw PDF,,,,,,,,,,
