Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,136.80,132.90,149.11,180.37,153.37,108.86,127.94,187.96,193.24
  └─ YOY Sales Growth %,,,,,12.11%,-18.09%,-14.20%,4.21%,26.00%
Expenses,128.52,123.81,139.43,169.43,146.79,102.26,118.59,174.08,176.91
  └─ Material Cost %,83%,82%,81%,86%,86%,84%,81%,84%,81%
  └─ Employee Cost %,2%,2%,1%,1%,2%,2%,2%,1%,1%
Operating Profit,8.28,9.09,9.68,10.94,6.58,6.60,9.35,13.88,16.33
OPM %,6.05%,6.84%,6.49%,6.07%,4.29%,6.06%,7.31%,7.38%,8.45%
Other Income,0.20,0.25,0.24,0.14,1.33,0.46,0.52,0.17,-0.23
  └─ Other income normal,0.20,0.25,0.24,0.14,1.33,0.46,0.52,0.17,-0.23
Interest,5.36,4.28,5.36,5.56,4.62,4.54,5.11,5.15,3.93
Depreciation,1.09,1.00,1.01,1.02,1.02,1.08,1.09,1.14,1.34
Profit before tax,2.03,4.06,3.55,4.50,2.27,1.44,3.67,7.76,10.83
Tax %,-7.39%,25.86%,27.32%,32.67%,76.65%,25.69%,33.24%,34.41%,37.03%
Net Profit,2.18,3.01,2.58,3.03,0.53,1.08,2.45,5.09,6.82
  └─ Profit excl Excep,2,3,3,3,1,1,2,5,7
  └─ Profit for PE,2,3,3,3,1,1,2,5,7
  └─ Profit for EPS,2,3,3,3,1,1,2,5,7
  └─ YOY Profit Growth %,,,,,-76%,-64%,-5%,68%,1187%
EPS in Rs,0.14,0.18,0.15,0.18,0.03,0.06,0.15,0.30,0.40
Raw PDF,,,,,,,,,
