Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,346,295,392,402,527,386,438
Expenses,336,283,379,388,515,372,426
  └─ Material Cost %,81%,83%,82%,85%,86%,83%,83%
  └─ Employee Cost %,1%,2%,1%,1%,1%,2%,1%
Operating Profit,10,12,13,14,12,14,12
OPM %,3%,4%,3%,3%,2%,4%,3%
Other Income,4,2,5,3,4,3,3
  └─ Other income normal,4.11,1.92,4.63,3.49,3.67,2.97,2.62
Interest,3,5,5,4,4,5,4
Depreciation,1,2,2,2,2,3,3
Profit before tax,10,7,10,11,9,9,7
Tax %,26%,25%,28%,26%,25%,32%,29%
Net Profit,8,6,8,8,7,6,5
  └─ Minority share,0.00,0.00,0.00,0.00,0.03,0.38,-0.38
  └─ Profit excl Excep,7.66,5.52,7.51,8.06,6.91,6.24,5.19
  └─ Profit for PE,7.66,5.52,7.51,8.06,6.94,6.62,4.81
  └─ Profit for EPS,7.66,5.52,7.51,8.06,6.94,6.62,4.81
EPS in Rs,166.99,10.96,4.63,3.64,3.04,2.90,2.10
Raw PDF,,,,,,,
