Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,17.01,17.34,48.14,48.21,30.48,31.18,74.64,61.08
  └─ YOY Sales Growth %,,,,,79.19%,79.82%,55.05%,26.70%
Expenses,14.14,14.30,33.27,33.22,21.70,22.79,52.07,48.28
  └─ Material Cost %,58%,58%,57%,57%,53%,53%,57%,55%
  └─ Employee Cost %,5%,5%,4%,4%,4%,6%,2%,3%
Operating Profit,2.87,3.04,14.87,14.99,8.78,8.39,22.57,12.80
OPM %,16.87%,17.53%,30.89%,31.09%,28.81%,26.91%,30.24%,20.96%
Other Income,0.11,0.13,0.24,0.24,0.03,1.75,0.08,0.01
  └─ Other income normal,0.11,0.13,0.24,0.24,0.03,1.75,0.08,0.01
Interest,0.13,0.13,0.72,0.76,0.66,1.15,0.89,0.42
Depreciation,0.52,0.52,0.74,0.74,0.84,0.88,0.84,0.97
Profit before tax,2.33,2.52,13.65,13.73,7.31,8.11,20.92,11.42
Tax %,27.04%,27.78%,24.76%,25.20%,27.36%,29.47%,32.89%,12.61%
Net Profit,1.70,1.83,10.27,10.28,5.31,5.73,14.05,9.99
  └─ Minority share,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Profit excl Excep,1.70,1.83,10.27,10.28,5.31,5.73,14.05,9.99
  └─ Profit for PE,1.70,1.79,10.27,10.28,5.31,5.73,14.05,10.01
  └─ Profit for EPS,1.70,1.79,10.27,10.28,5.31,5.73,14.05,10.01
  └─ YOY Profit Growth %,,,,,212.35%,220.11%,36.81%,-2.63%
EPS in Rs,0.04,0.04,0.24,0.24,0.12,0.13,0.33,0.23
Raw PDF,,,,,,,,
