Metric,Mar 2026
Sales,26.97
Expenses,24.73
  └─ Material Cost %,31.48%
  └─ Employee Cost %,15.31%
Operating Profit,2.24
OPM %,8.31%
Other Income,0.61
  └─ Other income normal,0.61
Interest,-0.01
Depreciation,1.56
Profit before tax,1.30
Tax %,23.08%
Net Profit,1.00
  └─ Profit excl Excep,1.00
  └─ Profit for PE,1.00
  └─ Profit for EPS,1.00
EPS in Rs,0.61
Raw PDF,
