Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Sales,74.75,81.44,91.38,90.45,45.80,53.47,68.82,22.24,18.38,24.26,29.34,67.58,24.83
  └─ YOY Sales Growth %,327.39%,134.29%,90.14%,3.29%,-38.73%,-34.34%,-24.69%,-75.41%,-59.87%,-54.63%,-57.37%,203.87%,35.09%
Expenses,70.17,76.37,85.80,100.54,42.16,49.87,64.41,36.63,17.12,24.11,28.88,71.55,22.71
  └─ Material Cost %,93%,93%,93%,108%,91%,93%,93%,156%,92%,98%,97%,104%,90%
  └─ Employee Cost %,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,1%,0%,1%
Operating Profit,4.58,5.07,5.58,-10.09,3.64,3.60,4.41,-14.39,1.26,0.15,0.46,-3.97,2.12
OPM %,6.13%,6.23%,6.11%,-11.16%,7.95%,6.73%,6.41%,-64.70%,6.86%,0.62%,1.57%,-5.87%,8.54%
Other Income,0.49,0.54,0.50,0.24,0.82,0.81,0.93,0.66,0.68,0.70,0.66,0.61,0.85
  └─ Other income normal,0.49,0.54,0.50,0.24,0.82,0.81,0.93,0.66,0.68,0.70,0.66,0.61,0.85
Interest,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.01,0.00,0.00,0.00,0.00,0.00
Depreciation,0.02,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Profit before tax,5.05,5.58,6.05,-9.88,4.46,4.41,5.37,-13.74,1.94,0.85,1.12,-3.37,2.97
Tax %,7.72%,7.17%,6.94%,6.38%,8.30%,12.02%,18.25%,-12.74%,25.26%,24.71%,25.00%,-25.22%,25.25%
Net Profit,4.66,5.18,5.64,-10.51,4.09,3.87,4.38,-12.00,1.45,0.63,0.84,-2.52,2.22
  └─ Minority share,0,-0,-0,0,0,-0,-1,1,-0,-0,-0,0,-0
  └─ Profit excl Excep,5,5,6,-11,4,4,4,-12,1,1,1,-3,2
  └─ Profit for PE,5,5,6,-10,4,4,3,-11,1,1,1,-2,2
  └─ Profit for EPS,5,5,6,-10,4,4,3,-11,1,1,1,-2,2
  └─ YOY Profit Growth %,211%,149%,56%,-406%,-12%,-28%,-40%,-3%,-68%,-85%,-82%,80%,57%
EPS in Rs,1.33,1.43,1.61,-2.99,1.17,1.03,0.96,-3.08,0.37,0.15,0.17,-0.61,0.58
Raw PDF,,,,,,,,,,,,,
