Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,706,778,1015,1061,816,839,1231,1254
  └─ YOY Sales Growth %,,,,,15.54%,7.91%,21.20%,18.20%
Expenses,500,566,635,648,571,594,764,787
  └─ Material Cost %,10.89%,10.98%,10.47%,8.92%,10.00%,10.30%,8.78%,7.83%
  └─ Employee Cost %,22.50%,22.25%,17.59%,17.16%,23.30%,22.23%,16.55%,16.16%
Operating Profit,206,212,381,412,245,246,467,466
OPM %,29%,27%,37%,39%,30%,29%,38%,37%
Other Income,14,7,19,43,48,49,-34,60
  └─ Exceptional items,0,0,0,0,0,0,-84,4
  └─ Other income normal,14,7,19,43,48,49,50,56
Interest,2,2,2,2,2,2,2,2
Depreciation,95,104,104,100,102,104,104,106
Profit before tax,123,114,294,354,189,189,327,418
Tax %,29%,33%,27%,27%,29%,29%,28%,24%
Net Profit,87,77,216,258,134,133,237,317
  └─ Minority share,-1,-0,-1,-1,-1,-1,-2,-2
  └─ Exceptional items AT,0,0,0,0,0,0,-61,3
  └─ Profit excl Excep,87,77,216,258,134,133,298,315
  └─ Profit for PE,87,76,215,257,133,133,296,313
  └─ Profit for EPS,87,76,215,257,133,133,235,316
  └─ YOY Profit Growth %,,,,,54%,74%,37%,22%
EPS in Rs,,,,1.23,0.64,0.64,1.13,1.52
Raw PDF,,,,,,,,
