Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,215,202,195,203,204,208,205,224,237,231,252
  └─ YOY Sales Growth %,,,,,-4.98%,2.98%,5.14%,10.31%,16.10%,11.37%,22.83%
Expenses,176,165,161,167,166,174,179,190,199,198,205
  └─ Material Cost %,50.78%,47.25%,45.44%,46.72%,47.08%,45.32%,43.74%,45.05%,44.06%,43.65%,45.64%
  └─ Employee Cost %,12.46%,15.17%,15.18%,14.32%,13.94%,16.34%,17.35%,16.09%,15.80%,17.32%,15.15%
Operating Profit,39,36,34,36,39,34,26,33,38,33,47
OPM %,18%,18%,18%,18%,19%,16%,13%,15%,16%,14%,19%
Other Income,0,0,1,1,0,2,0,1,2,1,-1
  └─ Other income normal,0.33,0.42,0.88,1.25,0.11,1.86,0.39,0.93,2.12,0.79,-1.17
Interest,4,3,4,5,5,5,8,9,10,8,9
Depreciation,4,4,4,4,4,5,8,8,8,8,8
Profit before tax,31,30,27,28,29,26,11,17,23,18,29
Tax %,25%,25%,26%,26%,26%,26%,27%,24%,26%,30%,24%
Net Profit,23,22,20,21,22,19,8,13,17,12,22
  └─ Profit excl Excep,23,22,20,21,22,19,8,13,17,12,22
  └─ Profit for PE,23,22,20,21,22,19,8,13,17,12,22
  └─ Profit for EPS,23,22,20,21,22,19,8,13,17,12,22
  └─ YOY Profit Growth %,,,,,-6%,-13%,-62%,-37%,-23%,-36%,184%
EPS in Rs,2.39,2.22,2.00,2.08,2.17,1.93,0.77,1.30,1.68,1.24,2.18
Raw PDF,,,,,,,,,,,
