Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,42.77,44.74,52.98,39.71,49.31,50.64,68.04
  └─ YOY Sales Growth %,,,,,15.29%,13.19%,28.43%
Expenses,35.97,37.27,42.30,36.00,43.03,46.54,58.87
  └─ Material Cost %,56%,52%,51%,54%,54%,54%,55%
  └─ Employee Cost %,13%,13%,13%,17%,15%,15%,13%
Operating Profit,6.80,7.47,10.68,3.71,6.28,4.10,9.17
OPM %,15.90%,16.70%,20.16%,9.34%,12.74%,8.10%,13.48%
Other Income,5.84,3.30,4.29,5.30,2.70,4.19,-4.62
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.39,-0.23
  └─ Other income normal,5.84,3.30,4.29,5.30,2.70,4.58,-4.39
Interest,0.11,0.10,0.09,0.10,0.11,0.08,0.08
Depreciation,1.36,1.33,1.29,1.34,1.45,1.42,2.26
Profit before tax,11.17,9.34,13.59,7.57,7.42,6.79,2.21
Tax %,-0.98%,24.95%,25.46%,25.23%,16.17%,29.16%,-203.17%
Net Profit,11.28,7.02,10.13,5.65,6.26,4.90,6.82
  └─ Profit from Associates,-0.00,-0.00,-0.00,-0.00,0.04,0.07,0.13
  └─ Exceptional items AT,-0.00,-0.00,-0.00,-0.00,-0.00,-0.28,0.10
  └─ Profit excl Excep,11.28,7.02,10.13,5.65,6.26,5.18,6.72
  └─ Profit for PE,11.28,7.02,10.13,5.65,6.26,5.18,6.72
  └─ Profit for EPS,11.28,7.02,10.13,5.65,6.26,4.90,6.82
  └─ YOY Profit Growth %,,,,,-44.50%,-26.21%,-33.66%
EPS in Rs,,2.19,3.17,1.77,1.96,1.53,2.13
Raw PDF,,,,,,,
