Metric,Jun 2022,Sep 2022
Sales,1.03,
Expenses,0.50,
  └─ Material Cost %,,52%
  └─ Employee Cost %,,2%
Operating Profit,0.53,
OPM %,51.46%,
Other Income,0.01,
  └─ Other income normal,,0.02
Interest,0.02,
Depreciation,0.11,
Profit before tax,0.41,
Tax %,26.83%,
Net Profit,0.29,
  └─ Profit excl Excep,,0.78
  └─ Profit for PE,,0.78
  └─ Profit for EPS,,0.78
EPS in Rs,6.74,
Raw PDF,,
