Metric,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017
Sales,118.22,130.64,139.47,130.47,128.18,134.25,145.46,136.74,124.24,144.73,142.29,140.31,76.04
  └─ YOY Sales Growth %,-13.95%,-3.59%,-1.82%,-8.33%,8.42%,2.76%,4.29%,4.81%,-3.07%,7.81%,-2.18%,2.61%,-38.80%
Expenses,113.72,126.85,134.58,125.87,123.21,130.08,139.93,132.34,119.63,140.45,136.52,135.09,74.06
  └─ Employee Cost %,2.07%,2.74%,1.73%,1.95%,2.70%,1.61%,2.21%,2.08%,2.70%,1.93%,2.90%,2.29%,3.50%
Operating Profit,4.50,3.79,4.89,4.60,4.97,4.17,5.53,4.40,4.61,4.28,5.77,5.22,1.98
OPM %,3.81%,2.90%,3.51%,3.53%,3.88%,3.11%,3.80%,3.22%,3.71%,2.96%,4.06%,3.72%,2.60%
Other Income,0.64,0.21,0.25,0.06,0.25,-0.09,1.17,0.23,0.12,0.61,-0.26,0.00,0.40
  └─ Other income normal,0.64,0.21,0.25,0.06,0.25,-0.09,1.17,0.23,0.12,0.61,-0.26,0.00,0.40
Interest,2.16,2.45,1.70,1.87,1.92,2.61,2.24,2.05,1.61,2.54,1.85,2.56,0.86
Depreciation,1.03,1.25,0.06,0.83,0.88,0.53,0.82,0.61,0.62,0.70,0.78,0.66,0.75
Profit before tax,1.95,0.30,3.38,1.96,2.42,0.94,3.64,1.97,2.50,1.65,2.88,2.00,0.77
Tax %,31.79%,-13.33%,43.49%,30.61%,31.40%,31.91%,45.60%,34.52%,32.00%,32.73%,48.26%,34.00%,33.77%
Net Profit,1.33,0.34,1.91,1.35,1.65,0.64,1.99,1.29,1.70,1.11,1.50,1.32,0.51
  └─ Profit excl Excep,1,0,2,1,2,1,2,1,2,1,2,1,1
  └─ Profit for PE,1,0,2,1,2,1,2,1,2,1,2,1,1
  └─ Profit for EPS,1,0,2,1,2,1,2,1,2,1,2,1,1
  └─ YOY Profit Growth %,209%,-82%,-9%,-31%,24%,88%,4%,-4%,3%,73%,-25%,2%,-70%
EPS in Rs,0.14,0.04,0.20,0.14,0.17,0.07,0.21,0.14,0.18,0.12,0.16,0.14,0.05
Raw PDF,,,,,,,,,,,,,
