Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,9.18,7.27,11.74,13.14,18.51,18.77,55.67
Expenses,7.72,6.16,9.30,10.95,15.65,15.47,47.72
  └─ Material Cost %,76%,72%,65%,68%,75%,58%,81%
  └─ Employee Cost %,4%,6%,2%,4%,4%,3%,2%
Operating Profit,1.46,1.11,2.44,2.19,2.86,3.30,7.95
OPM %,15.90%,15.27%,20.78%,16.67%,15.45%,17.58%,14.28%
Other Income,0.13,0.25,0.01,0.23,1.10,0.10,1.99
  └─ Exceptional items,0.00,0.19,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.13,0.06,0.01,0.23,1.10,0.10,1.99
Interest,0.36,0.12,0.31,0.08,2.02,1.16,3.95
Depreciation,0.01,0.01,0.01,0.02,0.02,0.02,0.08
Profit before tax,1.22,1.23,2.13,2.32,1.92,2.22,5.91
Tax %,6.56%,25.20%,31.92%,28.02%,30.73%,26.58%,27.75%
Net Profit,1.23,1.04,1.61,1.68,1.34,1.63,4.27
  └─ Profit from Associates,0.09,0.11,0.16,0.01,0.01,0.00,0.01
  └─ Minority share,-0.01,0.00,-0.25,-0.77,-0.24,-0.48,-1.50
  └─ Exceptional items AT,0.00,0.14,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,1.23,0.90,1.61,1.68,1.34,1.63,4.27
  └─ Profit for PE,1.22,0.90,1.36,0.91,1.10,1.15,2.77
  └─ Profit for EPS,1.22,1.04,1.36,0.91,1.10,1.15,2.77
EPS in Rs,1.88,1.60,1.53,1.02,1.24,1.30,3.12
Raw PDF,,,,,,,
