Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,15.88,15.32,11.70,18.85,18.10,19.20,16.72,10.99
  └─ YOY Sales Growth %,,,,,13.98%,25.33%,42.91%,-41.70%
Expenses,13.40,12.28,9.64,20.08,14.92,15.31,13.98,14.43
  └─ Material Cost %,69%,64%,58%,73%,61%,62%,65%,76%
  └─ Employee Cost %,11%,12%,15%,14%,12%,11%,14%,23%
Operating Profit,2.48,3.04,2.06,-1.23,3.18,3.89,2.74,-3.44
OPM %,15.62%,19.84%,17.61%,-6.53%,17.57%,20.26%,16.39%,-31.30%
Other Income,0.04,0.05,0.02,0.65,0.04,0.03,0.56,0.77
  └─ Other income normal,0.04,0.05,0.02,0.65,0.04,0.03,0.56,0.77
Interest,0.04,0.11,0.08,0.15,0.06,0.09,0.30,0.38
Depreciation,0.17,0.17,0.17,0.18,0.14,0.14,0.14,0.21
Profit before tax,2.31,2.81,1.83,-0.91,3.02,3.69,2.86,-3.26
Tax %,24.68%,24.91%,28.96%,-4.40%,27.81%,22.76%,26.92%,-38.34%
Net Profit,1.75,2.10,1.30,-0.88,2.18,2.85,2.08,-2.01
  └─ Profit excl Excep,2,2,1,-1,2,3,2,-2
  └─ Profit for PE,2,2,1,-1,2,3,2,-2
  └─ Profit for EPS,2,2,1,-1,2,3,2,-2
  └─ YOY Profit Growth %,,,,,25%,36%,60%,-128%
EPS in Rs,0.04,0.05,0.03,-0.02,0.05,0.07,0.05,-0.05
Raw PDF,,,,,,,,
