Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,2.32,3.20,6.14,7.08,7.90,8.10,8.71,6.99
Expenses,1.70,3.12,5.22,5.45,7.45,5.35,7.98,7.35
  └─ Material Cost %,47%,65%,73%,66%,78%,51%,75%,83%
  └─ Employee Cost %,2%,3%,1%,1%,2%,10%,2%,2%
Operating Profit,0.62,0.08,0.92,1.63,0.45,2.75,0.73,-0.36
OPM %,26.72%,2.50%,14.98%,23.02%,5.70%,33.95%,8.38%,-5.15%
Other Income,0.02,0.05,0.05,0.09,0.02,0.01,0.02,0.02
  └─ Other income normal,0.02,0.05,0.05,0.09,0.02,0.01,0.02,0.02
Interest,0.03,0.09,0.07,0.08,0.15,0.29,0.35,0.36
Depreciation,0.34,0.34,0.22,0.28,0.22,0.25,0.17,0.17
Profit before tax,0.27,-0.30,0.68,1.36,0.10,2.22,0.23,-0.87
Tax %,37.04%,-43.33%,22.06%,35.29%,0.00%,27.03%,-30.43%,-19.54%
Net Profit,0.16,-0.18,0.53,0.87,0.10,1.63,0.31,-0.70
  └─ Profit excl Excep,0.16,-0.18,0.53,0.87,0.10,1.63,0.31,-0.70
  └─ Profit for PE,0.16,-0.18,0.53,0.87,0.10,1.63,0.31,-0.70
  └─ Profit for EPS,0.16,-0.18,0.53,0.87,0.10,1.63,0.31,-0.70
EPS in Rs,0.83,-0.93,2.75,4.51,0.52,8.45,1.61,-3.63
Raw PDF,,,,,,,,
