Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,81,464,70,153,165,249,180,102,139,158
  └─ YOY Sales Growth %,,,,,104.48%,-46.23%,156.22%,-33.30%,-15.67%,-36.50%
Expenses,68,393,55,135,155,204,154,106,110,31
  └─ Material Cost %,0.00%,-0.31%,29.73%,-1.84%,3.52%,3.25%,14.55%,27.42%,24.50%,3.09%
  └─ Employee Cost %,0.46%,0.95%,5.39%,2.12%,1.66%,1.26%,1.69%,8.48%,2.43%,3.08%
Operating Profit,12,71,15,18,10,45,26,-4,29,127
OPM %,15%,15%,22%,12%,6%,18%,14%,-4%,21%,80%
Other Income,1,4,1,1,2,3,0,0,1,10
  └─ Other income normal,1.08,3.67,1.19,0.64,1.62,2.55,0.11,0.19,1.18,9.99
Interest,-0,2,2,2,5,5,5,6,23,11
Depreciation,0,0,2,2,2,19,1,1,2,81
Profit before tax,13,73,13,15,5,23,20,-11,6,45
Tax %,26%,26%,26%,25%,50%,28%,29%,-10%,-5%,28%
Net Profit,10,54,9,11,3,17,14,-10,6,32
  └─ Profit excl Excep,10,54,9,11,3,17,14,-10,6,32
  └─ Profit for PE,10,54,9,11,3,17,14,-10,6,32
  └─ Profit for EPS,10,54,9,11,3,17,14,-10,6,32
  └─ YOY Profit Growth %,,,,,-72%,-69%,46%,-190%,138%,93%
EPS in Rs,0.65,2.89,0.50,0.56,0.13,0.75,0.61,-0.43,0.24,1.20
Raw PDF,,,,,,,,,,
